step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1995.77	14.35ms	41.66ms	0
2200	2197.24	14.32ms	52.67ms	0
2400	2372.09	27.42ms	64.13ms	0
2600	2565.05	21.31ms	49.73ms	0
2800	2788.99	26.60ms	66.88ms	0
3000	2951.55	43.53ms	89.79ms	0
3200	3149.23	54.95ms	150.01ms	0
3400	3344.74	90.63ms	187.90ms	0
3600	3533.61	143.85ms	269.82ms	0
3800	3768.25	78.59ms	339.71ms	0
4000	3653.14	2.25s	2.89s	0
4200	4009.83	257.70ms	1.08s	0
4400	3608.89	3.49s	5.20s	0
4600	4020.20	1.55s	3.50s	0
4800	3600.53	5.10s	7.21s	0
5000	3681.07	4.76s	7.68s	0
