phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	2m	225Mi	3750m	24202Mi
running	11s		3348m	24440Mi
running	21s		3348m	24440Mi
running	31s		4686m	23071Mi
running	42s	681m	44Mi	5352m	22028Mi
running	52s	720m	43Mi	4290m	22461Mi
running	62s	720m	43Mi	4290m	22461Mi
running	72s	749m	38Mi	3774m	22523Mi
running	82s	2568m	387Mi	6943m	22993Mi
running	93s	2568m	387Mi	6943m	22993Mi
running	103s	4462m	461Mi	10205m	21634Mi
running	113s	4983m	493Mi	14100m	22225Mi
running	123s	4983m	493Mi	14100m	22225Mi
running	133s	5027m	486Mi	14346m	23502Mi
running	144s	3510m	404Mi	12410m	24814Mi
running	154s	3510m	404Mi	12410m	24814Mi
running	164s	2m	404Mi	4629m	25201Mi
running	175s	2491m	563Mi	5737m	25530Mi
running	185s	2491m	563Mi	5737m	25530Mi
running	195s	3951m	672Mi	10102m	22125Mi
running	205s	4817m	800Mi	10185m	21250Mi
running	215s	4817m	800Mi	10185m	21250Mi
running	226s	5096m	756Mi	12438m	22351Mi
running	236s	4540m	801Mi	11263m	23586Mi
running	246s	4540m	801Mi	11263m	23586Mi
running	256s	3928m	888Mi	10785m	24606Mi
running	267s	4016m	950Mi	8929m	23271Mi
running	277s	4297m	1116Mi	10876m	22679Mi
running	287s	4297m	1116Mi	10876m	22679Mi
running	297s	4375m	1160Mi	10482m	23820Mi
running	307s	4850m	1136Mi	11359m	24968Mi
running	318s	4850m	1136Mi	11359m	24968Mi
running	328s	3633m	1166Mi	13051m	26255Mi
running	338s	3189m	1107Mi	10190m	25950Mi
running	348s	3189m	1107Mi	10190m	25950Mi
running	359s	3976m	1014Mi	9002m	24461Mi
running	369s	3898m	910Mi	8951m	25747Mi
running	379s	3898m	910Mi	8951m	25747Mi
running	389s	3644m	956Mi	12554m	27049Mi
running	399s	4788m	1002Mi	14629m	28444Mi
running	410s	4788m	1002Mi	14629m	28444Mi
running	420s	3747m	1104Mi	14791m	29857Mi
running	430s	3292m	1077Mi	15015m	28900Mi
running	440s	3292m	1077Mi	15015m	28900Mi
running	450s	3134m	945Mi	12919m	28483Mi
running	461s	4498m	809Mi	13631m	28328Mi
running	471s	4498m	809Mi	13631m	28328Mi
