step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1993.40	18.41ms	45.18ms	0
2200	2190.14	21.81ms	65.73ms	0
2400	2369.18	25.79ms	60.61ms	0
2600	2571.12	22.25ms	52.45ms	0
2800	2790.01	22.77ms	56.99ms	0
3000	2946.87	33.47ms	73.09ms	0
3200	3150.52	46.26ms	92.61ms	0
3400	3334.93	45.80ms	132.10ms	0
3600	3551.09	58.93ms	119.36ms	0
3800	3762.97	65.73ms	237.70ms	0
4000	3946.09	354.58ms	744.45ms	0
4200	3979.31	790.38ms	1.60s	0
4400	4066.02	1.86s	2.28s	0
4600	3890.08	2.70s	4.36s	0
4800	3924.47	3.77s	5.12s	0
5000	3841.94	4.73s	6.82s	0
