phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	2m	119Mi	3097m	12646Mi
running	11s		3097m	12646Mi
running	21s		1904m	12780Mi
running	31s	839m	36Mi	829m	12813Mi
running	42s	839m	36Mi	829m	12813Mi
running	52s	866m	35Mi	844m	12847Mi
running	62s	875m	37Mi	925m	12880Mi
running	72s	875m	37Mi	925m	12880Mi
running	82s	2035m	341Mi	2382m	13057Mi
running	93s	5251m	273Mi	9802m	14012Mi
running	103s	5251m	273Mi	9802m	14012Mi
running	113s	5115m	347Mi	10242m	14983Mi
running	123s	5019m	380Mi	9270m	15962Mi
running	134s	3826m	376Mi	10066m	16260Mi
running	144s	3826m	376Mi	10066m	16260Mi
running	154s	918m	290Mi	5680m	13494Mi
running	164s	4650m	236Mi	6720m	13901Mi
running	174s	4650m	236Mi	6720m	13901Mi
running	185s	4120m	351Mi	8284m	14686Mi
running	195s	4395m	298Mi	7478m	15503Mi
running	205s	4395m	298Mi	7478m	15503Mi
running	215s	4272m	328Mi	7061m	16134Mi
running	225s	4028m	296Mi	8896m	16942Mi
running	236s	4028m	296Mi	8896m	16942Mi
running	246s	4169m	349Mi	11250m	17080Mi
running	256s	4004m	229Mi	9082m	15207Mi
running	266s	4004m	229Mi	9082m	15207Mi
running	277s	4203m	280Mi	7606m	15957Mi
running	287s	3784m	375Mi	7063m	16708Mi
running	297s	3784m	375Mi	7063m	16708Mi
running	307s	4346m	319Mi	7903m	17543Mi
running	317s	4266m	236Mi	8225m	18499Mi
running	328s	4266m	236Mi	8225m	18499Mi
running	338s	3733m	346Mi	10730m	19582Mi
running	348s	3559m	307Mi	9460m	16941Mi
running	358s	3559m	307Mi	9460m	16941Mi
running	369s	4703m	228Mi	7560m	17674Mi
running	379s	3717m	389Mi	8796m	18584Mi
running	389s	4307m	283Mi	9884m	19717Mi
running	399s	4307m	283Mi	9884m	19717Mi
running	409s	3613m	348Mi	9162m	20869Mi
running	420s	4096m	235Mi	10112m	21838Mi
running	430s	4096m	235Mi	10112m	21838Mi
running	440s	3234m	279Mi	11353m	20019Mi
running	450s	3800m	236Mi	10437m	20387Mi
running	460s	3800m	236Mi	10437m	20387Mi
