step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1993.67	18.41ms	51.94ms	0
2200	2197.02	16.11ms	45.41ms	0
2400	2375.19	18.56ms	42.91ms	0
2600	2581.20	21.48ms	46.24ms	0
2800	2795.05	26.15ms	65.02ms	0
3000	2962.57	37.80ms	83.90ms	0
3200	3163.02	52.11ms	139.65ms	0
3400	3354.30	103.12ms	229.76ms	0
3600	3558.50	695.70ms	1.56s	0
3800	3610.59	1.82s	3.39s	0
4000	3630.99	2.90s	7.80s	0
