step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.41	11.61ms	35.10ms	0
2200	2193.13	13.60ms	38.75ms	0
2400	2373.48	17.34ms	42.72ms	0
2600	2580.80	23.62ms	53.95ms	0
2800	2794.44	23.37ms	52.00ms	0
3000	2959.87	43.91ms	89.41ms	0
3200	3161.74	47.04ms	113.41ms	0
3400	3357.26	147.67ms	740.86ms	0
3600	3568.99	281.80ms	814.59ms	0
3800	3736.01	464.61ms	1.32s	0
4000	3575.32	3.11s	7.79s	0
