step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1995.11	12.33ms	37.15ms	0
2200	2197.21	22.95ms	54.85ms	0
2400	2371.72	29.83ms	61.92ms	0
2600	2581.09	29.22ms	62.53ms	0
2800	2795.18	37.16ms	73.79ms	0
3000	2953.87	62.43ms	164.74ms	0
3200	3162.51	85.67ms	236.03ms	0
3400	3355.46	169.42ms	472.06ms	0
3600	3470.55	1.62s	3.00s	0
3800	3553.04	1.92s	4.41s	0
4000	3592.38	3.16s	8.32s	0
