phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	2598m	898Mi	11759m	30534Mi
running	11s	2598m	898Mi	11759m	30534Mi
running	21s	2734m	622Mi	13106m	30892Mi
running	31s	2734m	622Mi	13106m	30892Mi
running	42s		11564m	31406Mi
running	52s		6103m	30576Mi
running	62s		5955m	29251Mi
running	72s		5955m	29251Mi
running	82s	761m	36Mi	5152m	29629Mi
running	93s	622m	66Mi	3823m	25860Mi
running	103s	758m	41Mi	3047m	24630Mi
running	113s	758m	41Mi	3047m	24630Mi
running	123s	5033m	329Mi	7855m	25363Mi
running	133s	5134m	303Mi	9792m	25236Mi
running	144s	5134m	303Mi	9792m	25236Mi
running	154s	5026m	369Mi	11319m	26570Mi
running	164s	4280m	451Mi	12503m	27837Mi
running	174s	4280m	451Mi	12503m	27837Mi
running	185s	1118m	422Mi	5579m	28305Mi
running	195s	3175m	550Mi	9717m	29204Mi
running	205s	3175m	550Mi	9717m	29204Mi
running	215s	3684m	761Mi	9479m	27474Mi
running	225s	5064m	948Mi	11583m	28032Mi
running	236s	5064m	948Mi	11583m	28032Mi
running	246s	4209m	1056Mi	9807m	28779Mi
running	256s	4784m	1234Mi	12351m	29860Mi
running	266s	4784m	1234Mi	12351m	29860Mi
running	277s	3893m	1241Mi	8621m	30820Mi
running	287s	3171m	1265Mi	8013m	28372Mi
running	297s	3171m	1265Mi	8013m	28372Mi
running	307s	4406m	1202Mi	11137m	28984Mi
running	317s	4329m	1020Mi	12426m	29585Mi
running	328s	4530m	869Mi	12966m	30890Mi
running	338s	4530m	869Mi	12966m	30890Mi
running	348s	3745m	989Mi	13875m	32164Mi
running	358s	2956m	1076Mi	10376m	32616Mi
running	368s	2956m	1076Mi	10376m	32616Mi
running	379s	3702m	1083Mi	10227m	31593Mi
running	389s	3897m	981Mi	9820m	31290Mi
running	399s	3897m	981Mi	9820m	31290Mi
running	409s	4783m	980Mi	11224m	32440Mi
running	420s	4610m	1070Mi	11743m	33878Mi
running	430s	4610m	1070Mi	11743m	33878Mi
running	440s	3592m	1047Mi	11345m	34809Mi
running	450s	3429m	854Mi	12675m	32907Mi
running	461s	3429m	854Mi	12675m	32907Mi
running	471s	4246m	915Mi	12200m	32887Mi
running	481s	4078m	1051Mi	12802m	34053Mi
running	491s	4078m	1051Mi	12802m	34053Mi
