phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	1234m	110Mi	1498m	7756Mi
running	11s		17m	7756Mi
running	21s	730m	34Mi	673m	7780Mi
running	31s	730m	34Mi	673m	7780Mi
running	42s	889m	36Mi	813m	7814Mi
running	52s	912m	36Mi	830m	7847Mi
running	62s	912m	36Mi	830m	7847Mi
running	72s	854m	39Mi	905m	7881Mi
running	82s	4190m	331Mi	5952m	8432Mi
running	93s	4190m	331Mi	5952m	8432Mi
running	103s	5215m	256Mi	10587m	9514Mi
running	113s	5080m	295Mi	10925m	10574Mi
running	123s	5080m	295Mi	10925m	10574Mi
running	134s	4741m	449Mi	9890m	11517Mi
running	144s	1689m	132Mi	6440m	12046Mi
running	154s	1684m	256Mi	4212m	12488Mi
running	164s	1684m	256Mi	4212m	12488Mi
running	174s	3213m	183Mi	6192m	9402Mi
running	185s	3402m	191Mi	3398m	9738Mi
running	195s	3402m	191Mi	3398m	9738Mi
running	205s	3403m	222Mi	4135m	10142Mi
running	215s	3383m	183Mi	4868m	10710Mi
running	225s	3383m	183Mi	4868m	10710Mi
running	236s	3318m	194Mi	5955m	11254Mi
running	246s	3209m	236Mi	6383m	11857Mi
running	256s	3209m	236Mi	6383m	11857Mi
running	266s	3275m	196Mi	4852m	12234Mi
running	277s	3294m	236Mi	4417m	12569Mi
running	287s	3294m	236Mi	4417m	12569Mi
running	297s	3339m	249Mi	5899m	13141Mi
running	307s	3164m	218Mi	5693m	10599Mi
running	317s	3164m	218Mi	5693m	10599Mi
running	328s	3378m	209Mi	4868m	11012Mi
running	338s	3295m	197Mi	4793m	11437Mi
running	348s	3295m	197Mi	4793m	11437Mi
running	358s	3327m	205Mi	4962m	11934Mi
running	368s	3399m	199Mi	5251m	12407Mi
running	379s	3341m	300Mi	4937m	12941Mi
running	389s	3341m	300Mi	4937m	12941Mi
running	399s	3351m	262Mi	5710m	13466Mi
running	409s	3313m	209Mi	5089m	13948Mi
running	420s	3313m	209Mi	5089m	13948Mi
running	430s	3231m	293Mi	5780m	14006Mi
running	440s	3201m	185Mi	6683m	11969Mi
running	450s	3201m	185Mi	6683m	11969Mi
running	460s	1635m	119Mi	4524m	12509Mi
