phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	44m	52Mi	369m	8355Mi
running	11s		369m	8355Mi
running	21s		705m	8396Mi
running	31s	857m	37Mi	910m	8450Mi
running	41s	857m	37Mi	910m	8450Mi
running	52s	855m	35Mi	805m	8485Mi
running	62s	855m	35Mi	867m	8520Mi
running	72s	855m	35Mi	867m	8520Mi
running	82s	2936m	344Mi	4151m	8876Mi
running	92s	5285m	345Mi	9915m	9889Mi
running	103s	4922m	366Mi	11564m	10952Mi
running	113s	4922m	366Mi	11564m	10952Mi
running	123s	4765m	403Mi	10623m	11872Mi
running	133s	3062m	149Mi	9133m	12194Mi
running	143s	3062m	149Mi	9133m	12194Mi
running	154s	904m	206Mi	4421m	10148Mi
running	164s	3410m	317Mi	4845m	10591Mi
running	174s	3410m	317Mi	4845m	10591Mi
running	184s	3428m	195Mi	4808m	10973Mi
running	195s	3277m	271Mi	5570m	11495Mi
running	205s	3277m	271Mi	5570m	11495Mi
running	215s	3267m	297Mi	6183m	12087Mi
running	225s	3364m	232Mi	4625m	12572Mi
running	235s	3364m	232Mi	4625m	12572Mi
running	246s	3306m	322Mi	6326m	13176Mi
running	256s	3432m	259Mi	5245m	13701Mi
running	266s	3432m	259Mi	5245m	13701Mi
running	276s	3264m	316Mi	6610m	13002Mi
running	287s	3283m	261Mi	6597m	11055Mi
running	297s	3283m	261Mi	6597m	11055Mi
running	307s	3315m	236Mi	7837m	11782Mi
running	317s	3250m	204Mi	7776m	12412Mi
running	327s	3250m	204Mi	6471m	13011Mi
running	338s	3350m	285Mi	6471m	13011Mi
running	348s	3258m	284Mi	5528m	13517Mi
running	358s	3590m	323Mi	4695m	13959Mi
running	368s	3590m	323Mi	4695m	13959Mi
running	378s	3451m	191Mi	4798m	14496Mi
running	389s	3349m	245Mi	6485m	15071Mi
running	399s	3349m	245Mi	6485m	15071Mi
running	409s	3148m	305Mi	6123m	14880Mi
running	419s	3253m	243Mi	7284m	12151Mi
running	430s	3253m	243Mi	7284m	12151Mi
running	440s	3423m	194Mi	6052m	12739Mi
running	450s	2606m	163Mi	4135m	13073Mi
running	460s	2606m	163Mi	4135m	13073Mi
