step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.56	12.05ms	36.80ms	0
2200	2197.78	13.82ms	32.22ms	0
2400	2370.93	16.51ms	50.62ms	0
2600	2580.55	20.54ms	54.72ms	0
2800	2791.68	33.46ms	135.42ms	0
3000	2963.29	75.00ms	384.51ms	0
3200	3160.16	52.67ms	230.14ms	0
3400	3353.53	107.47ms	294.65ms	0
3600	3567.36	172.75ms	436.48ms	0
3800	3727.65	626.52ms	1.87s	0
4000	3544.18	3.90s	8.72s	0
