step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.28	15.28ms	45.50ms	0
2200	2196.84	24.39ms	54.59ms	0
2400	2371.71	24.90ms	56.99ms	0
2600	2574.65	28.26ms	65.47ms	0
2800	2794.43	36.81ms	89.66ms	0
3000	2954.56	64.53ms	172.41ms	0
3200	3163.74	75.89ms	290.82ms	0
3400	3356.33	299.71ms	1.07s	0
3600	3555.16	312.66ms	709.12ms	0
3800	3627.34	1.55s	2.72s	0
4000	3561.54	3.36s	6.66s	0
