phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	163Mi	536m	13179Mi
running	11s		58m	13127Mi
running	21s		58m	13127Mi
running	31s	871m	42Mi	838m	13161Mi
running	41s	868m	38Mi	786m	13196Mi
running	52s	868m	38Mi	786m	13196Mi
running	62s	882m	38Mi	781m	13231Mi
running	72s	847m	44Mi	994m	13269Mi
running	82s	847m	44Mi	994m	13269Mi
running	92s	5304m	313Mi	9483m	14145Mi
running	103s	5138m	331Mi	10199m	15194Mi
running	113s	4637m	451Mi	10527m	16369Mi
running	123s	4637m	451Mi	10527m	16369Mi
running	133s	3894m	561Mi	10444m	15532Mi
running	143s	1597m	84Mi	8604m	14895Mi
running	154s	1597m	84Mi	8604m	14895Mi
running	164s	4073m	261Mi	6828m	15412Mi
running	174s	4202m	334Mi	8397m	16293Mi
running	184s	4202m	334Mi	8397m	16293Mi
running	195s	4299m	340Mi	9417m	17168Mi
running	205s	4451m	250Mi	7493m	17888Mi
running	215s	4451m	250Mi	7493m	17888Mi
running	225s	3886m	340Mi	8350m	18446Mi
running	235s	3796m	284Mi	10466m	15339Mi
running	246s	3796m	284Mi	10466m	15339Mi
running	256s	4314m	286Mi	10264m	16490Mi
running	266s	4280m	230Mi	9455m	17246Mi
running	276s	4280m	230Mi	9455m	17246Mi
running	287s	4065m	372Mi	8265m	17921Mi
running	297s	4205m	284Mi	8974m	18795Mi
running	307s	4205m	284Mi	8974m	18795Mi
running	317s	3851m	418Mi	8582m	18970Mi
running	327s	4267m	282Mi	10149m	16891Mi
running	338s	4303m	374Mi	9216m	17983Mi
running	348s	4303m	374Mi	9216m	17983Mi
running	358s	4236m	304Mi	9570m	18789Mi
running	368s	4019m	402Mi	8945m	19794Mi
running	378s	4019m	402Mi	8945m	19794Mi
running	389s	3708m	386Mi	7582m	20635Mi
running	399s	4027m	422Mi	10151m	21836Mi
running	409s	4027m	422Mi	10151m	21836Mi
running	419s	3006m	502Mi	11724m	19448Mi
running	430s	4610m	369Mi	13352m	20701Mi
running	440s	4610m	369Mi	13352m	20701Mi
running	450s	3887m	384Mi	11236m	22009Mi
running	460s	696m	168Mi	5605m	22062Mi
