phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	114m	36Mi	258m	5307Mi
running	10s		258m	5307Mi
running	20s		403m	5321Mi
running	30s	841m	38Mi	893m	5356Mi
running	41s	841m	38Mi	893m	5356Mi
running	51s	799m	40Mi	905m	5390Mi
running	61s	822m	41Mi	1032m	5426Mi
running	71s	822m	41Mi	3528m	5700Mi
running	82s	2734m	256Mi	3528m	5700Mi
running	92s	5366m	281Mi	8627m	6571Mi
running	102s	5053m	316Mi	10944m	7557Mi
running	112s	5053m	316Mi	10944m	7557Mi
running	122s	5318m	284Mi	8974m	8206Mi
running	133s	3131m	65Mi	6588m	8828Mi
running	143s	3131m	65Mi	6588m	8828Mi
running	153s	894m	333Mi	2155m	9121Mi
running	163s	1894m	190Mi	3895m	6855Mi
running	173s	1894m	190Mi	3895m	6855Mi
running	184s	1962m	179Mi	2986m	7120Mi
running	194s	2062m	165Mi	1894m	7287Mi
running	204s	2062m	165Mi	1894m	7287Mi
running	214s	1961m	199Mi	1633m	7448Mi
running	225s	2014m	171Mi	1726m	7622Mi
running	235s	2014m	171Mi	1726m	7622Mi
running	245s	1963m	189Mi	2074m	7819Mi
running	255s	2045m	190Mi	2185m	8028Mi
running	265s	2045m	190Mi	2185m	8028Mi
running	276s	1920m	183Mi	2317m	8243Mi
running	286s	2028m	164Mi	2218m	8475Mi
running	296s	2028m	164Mi	2218m	8475Mi
running	306s	1928m	187Mi	2175m	8690Mi
running	316s	2000m	167Mi	2421m	8921Mi
running	327s	1988m	182Mi	1786m	9093Mi
running	337s	1988m	182Mi	1786m	9093Mi
running	347s	1969m	186Mi	2277m	9317Mi
running	357s	1968m	207Mi	2339m	9592Mi
running	368s	1968m	207Mi	2339m	9592Mi
running	378s	1894m	194Mi	1840m	9736Mi
running	388s	1965m	175Mi	2281m	9961Mi
running	398s	1965m	175Mi	2281m	9961Mi
running	408s	1995m	183Mi	1694m	10128Mi
running	419s	1990m	189Mi	2296m	10342Mi
running	429s	1990m	189Mi	2296m	10342Mi
running	439s	1936m	148Mi	3302m	7512Mi
running	449s	1172m	108Mi	1212m	7627Mi
