step_rps	ach	ach_sd	mean_ms	mean_ms_sd	p99_ms	p99_ms_sd	exp_sps	exp_sps_sd	cp_pct	cp_pct_sd	lp_pct	lp_pct_sd	tot_pct	tot_pct_sd
2000	1997.14	0.93	16.14	3.60	46.72	7.70	45924	20	0.00	0.00	0.00	0.00	0.00	0.00
2200	2195.03	1.78	16.65	3.00	41.52	8.63	50478	39	0.00	0.00	0.00	0.00	0.00	0.00
2400	2373.03	1.70	18.05	1.54	47.51	5.43	54583	39	0.00	0.00	0.00	0.00	0.00	0.00
2600	2579.46	1.33	23.91	4.22	95.43	64.81	59304	50	0.00	0.00	0.00	0.00	0.00	0.00
2800	2793.78	2.04	34.21	2.85	107.31	53.21	60554	3858	0.13	0.21	5.14	7.14	2.51	3.51
3000	2960.70	3.21	52.05	14.68	235.30	110.89	43875	5089	2.01	1.11	46.90	13.96	23.40	7.20
3200	3161.81	2.32	64.98	18.97	253.11	152.07	38984	1584	6.92	1.42	83.43	5.07	43.37	3.00
3400	3355.77	1.39	97.75	29.21	261.81	107.35	44876	3893	4.97	2.23	71.57	18.79	36.70	10.04
3600	3530.49	78.49	729.96	1247.48	1155.30	1588.34	46583	2165	6.46	2.99	76.39	19.76	39.78	10.68
3800	3715.66	46.33	813.09	521.01	1951.81	936.06	43559	2153	7.30	2.74	76.72	11.82	40.38	7.04
4000	3582.59	30.15	3344.00	362.39	8220.00	304.22	39817	1509	13.25	4.57	91.28	5.79	50.43	4.64
