step_rps	mean_avg	mean_sd	p99_avg	p99_sd	cp_pct_avg	cp_pct_sd	lp_pct_avg	lp_pct_sd	tot_pct_avg	tot_pct_sd	exp_sps	ref_sps
2000	16.858	4.053525625921217	47.06	8.533305338495744	0.0	0.0	0.0	0.0	0.0	0.0	45902.17333333333	0.0
2200	21.58	3.302256804065971	52.492	5.256854572841065	0.0	0.0	0.03550050368979168	0.0793815394858563	0.010222655737224095	0.0228585531390113	50513.87666666667	4.933333333333334
2400	24.830000000000002	1.800263869548018	54.452	4.146476817733339	0.0	0.0	0.08407912875089046	0.05765918173774184	0.024211266365144545	0.016603422219861812	54574.823333333334	12.533333333333333
2600	23.304000000000002	3.641542255693322	73.976	41.42831073070684	0.0	0.0	0.0	0.0	0.0	0.0	59289.93666666667	0.0
2800	38.122	5.592411823176114	136.346	60.05440891391739	0.63014800468012	1.1683411297279716	4.623906184328666	4.08963784155665	1.7801829868354841	1.93073119357142	58973.65666666667	1086.6733333333334
3000	52.864000000000004	14.362965571218226	195.136	100.58512529196351	26.450826506518926	3.6537767857763748	64.83010227060589	5.595588705344561	37.50245139521084	3.937756696510482	34149.25666666667	22176.786666666667
3200	68.676	19.28351186895167	226.108	63.692115446105255	25.687920269300772	7.009604558459826	66.03635955786964	5.366695523323097	37.30658135920643	5.701744655706018	42336.693333333336	23034.433333333334
3400	128.388	60.923459931294126	383.972	238.66606266916122	27.965136456446135	6.5532949049340194	64.08942632471656	17.004037237352364	38.36741770977068	8.66012045750543	43775.49	23117.096666666668
3600	526.848	550.8991663362725	1072.512	872.1978697348441	32.15354462401374	7.815180694160312	64.96484530350439	9.6544504552344	41.60169784283265	6.819448116193301	42575.65	25208.996666666666
3800	1922.37	936.5922722828755	3734.0	1567.842466576282	36.107603162375305	5.735335413185279	75.61201237621542	8.99525793610319	47.4822410487632	6.407669101924831	40486.62666666666	29024.92
4000	3420.0	347.6348659153739	8424.0	678.9182572298376	35.79915372931018	9.843819894537067	70.34781652521336	10.110625455309021	45.745175479748205	9.684931433779505	40133.236666666664	27046.91
