step_rps	ach_mean	ach_sd	mean_ms_avg	mean_ms_sd	p99_ms_avg	p99_ms_sd
2000	1997.8633333333332	0.25383721817996857	16.636666666666667	3.8570238958727407	44.56333333333333	10.399198687078409
2200	2196.2966666666666	2.1306415309320905	19.18	4.067640593759483	47.49666666666666	8.730362726332357
2400	2372.0233333333335	1.7758472156502796	24.596666666666668	6.341958162376453	55.766666666666666	12.15449436765402
2600	2580.26	0.2847806173179753	26.979999999999997	5.204872716983576	65.74666666666667	15.519695014185473
2800	2791.05	1.9909043171384349	28.73	2.6734247698411098	108.22	49.298447237210226
3000	2960.97	2.071907333835182	51.05	14.301751640970416	218.04666666666668	182.01024046281938
3200	3161.7233333333334	3.3895476591033717	63.056666666666665	18.173346784049805	183.16666666666669	45.015990862507216
3400	3355.4300000000003	4.89139039537846	204.56	191.0798084570947	527.8866666666667	538.769850802115
3600	3518.4700000000003	84.44615503384397	525.8666666666667	609.8156210965191	1216.07	1415.0583059718776
3800	3595.97	90.47549557753179	2000.0	820.1829064300231	3770.0	1280.195297601112
4000	3616.366666666667	26.700813345913833	2956.6666666666665	153.07950004273377	8023.333333333333	240.069434400411
