step_rps	ach	ach_sd	mean_ms	mean_ms_sd	p99_ms	p99_ms_sd	exp_sps	exp_sps_sd	cp_pct	cp_pct_sd	lp_pct	lp_pct_sd	tot_pct	tot_pct_sd
2000	1996.54	0.78	13.25	2.22	41.45	7.36	45934	19	0.00	0.00	0.00	0.00	0.00	0.00
2200	2196.01	1.11	21.15	4.13	51.33	8.18	50508	22	0.00	0.00	0.00	0.00	0.00	0.00
2400	2373.37	0.40	22.24	3.71	52.78	9.83	54576	19	0.00	0.00	0.00	0.00	0.00	0.00
2600	2578.58	2.26	21.36	2.48	57.63	20.42	59289	45	0.00	0.00	0.00	0.00	0.00	0.00
2800	2792.72	3.67	34.05	4.88	120.50	49.09	61503	1104	0.00	0.00	1.57	1.89	0.82	0.99
3000	2958.82	1.59	55.78	8.45	216.77	109.49	40084	4062	2.03	0.92	53.41	9.76	28.93	5.35
3200	3161.86	3.73	75.51	14.47	279.60	153.77	41093	3981	4.86	2.12	75.69	4.71	41.94	3.45
3400	3355.07	3.34	193.73	98.28	689.16	437.31	43316	3639	2.77	0.82	57.80	9.70	31.58	5.43
3600	3544.43	41.86	801.73	942.14	1357.64	1201.10	42907	3678	9.42	3.83	83.81	6.08	48.37	3.86
3800	3605.13	79.62	1836.11	1038.28	3638.00	1460.16	41777	2398	4.33	1.81	75.02	9.79	41.34	5.92
4000	3565.19	71.27	3462.00	685.36	8592.00	943.22	39281	3147	10.22	3.97	87.10	6.39	50.47	4.89
