step_rps	ach_mean	ach_sd	mean_ms_avg	mean_ms_sd	p99_ms_avg	p99_ms_sd
2000	1997.0966666666666	1.0431842278971275	15.57	3.630661096825205	45.45	7.68984395160266
2200	2195.8233333333333	1.6373250542679791	20.843333333333334	2.6631059560846113	51.553333333333335	3.5795716689756802
2400	2373.01	2.317261314569426	23.513333333333332	2.024014163323303	55.776666666666664	1.514606659609465
2600	2578.983333333333	0.6007772743149556	25.833333333333332	4.150232925190264	79.49666666666667	30.090450866235507
2800	2794.746666666667	0.9752093792274317	35.31333333333333	2.0221111080584397	115.92333333333333	48.05072354640805
3000	2959.8733333333334	2.243263991003564	59.92333333333333	3.4563178866147912	198.35666666666668	82.40808354362655
3200	3163.6566666666668	1.0610058121109487	93.11333333333333	3.4785677129148045	308.5233333333333	101.70930947230609
3400	3355.5633333333335	1.7522081307121369	307.7	310.63159256585607	950.5433333333333	1081.5215867625266
3600	3552.81	23.49542295852544	500.25	546.0091785858549	1013.1133333333333	1124.4534804220818
3800	3681.1466666666665	84.9629950821729	833.31	536.2807840115101	2135.866666666667	1442.6015573724205
4000	3551.2066666666665	106.87203859444857	3490.0	1109.9099062536563	8386.666666666666	1051.3958975254436
