step_rps	ach	ach_sd	mean_ms	mean_ms_sd	p99_ms	p99_ms_sd	exp_sps	exp_sps_sd	cp_pct	cp_pct_sd	lp_pct	lp_pct_sd	tot_pct	tot_pct_sd
2000	1997.13	1.26	14.46	1.75	41.42	3.10	45943	20	0.00	0.00	0.00	0.00	0.00	0.00
2200	2196.42	1.27	18.32	2.08	45.86	4.86	50515	30	0.00	0.00	0.00	0.00	0.00	0.00
2400	2374.13	0.55	22.97	3.50	51.66	6.24	54596	12	0.00	0.00	0.00	0.00	0.00	0.00
2600	2579.83	0.90	22.89	1.94	53.60	10.01	59305	18	0.00	0.00	0.03	0.07	0.02	0.03
2800	2793.91	1.98	36.95	9.04	131.59	107.87	59264	1245	0.01	0.03	5.50	2.56	2.63	1.23
3000	2956.33	4.06	52.15	9.13	181.30	71.02	39332	2305	3.72	0.75	61.63	6.95	31.31	3.60
3200	3161.17	3.11	82.93	25.05	244.42	89.72	40824	1259	7.95	1.98	78.73	7.01	41.67	3.67
3400	3353.85	3.52	278.43	206.85	774.61	606.95	46512	4397	4.77	1.76	61.63	11.66	31.86	6.45
3600	3556.10	20.26	562.97	283.69	1233.00	561.35	41694	1913	9.46	2.58	81.83	7.16	43.94	4.70
3800	3596.18	105.59	1833.86	1074.62	3798.00	1757.43	41606	3657	10.73	3.67	83.47	7.57	45.39	5.33
4000	3567.66	33.06	3342.00	457.52	8482.00	840.55	42854	2485	11.47	1.72	83.47	5.82	45.78	3.40
