phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	2m	83Mi	2024m	14568Mi
running	11s		2024m	14568Mi
running	21s		1333m	14634Mi
running	31s	777m	40Mi	1921m	14714Mi
running	41s	760m	38Mi	1421m	14834Mi
running	52s	760m	38Mi	1421m	14834Mi
running	62s	888m	44Mi	853m	14870Mi
running	72s	1610m	344Mi	2118m	15027Mi
running	82s	1610m	344Mi	2118m	15027Mi
running	93s	5277m	416Mi	10174m	16067Mi
running	103s	5170m	280Mi	11624m	17281Mi
running	113s	5170m	280Mi	11624m	17281Mi
running	123s	4021m	446Mi	11815m	17789Mi
running	133s	4482m	480Mi	11271m	14789Mi
running	144s	4482m	480Mi	11271m	14789Mi
running	154s	1158m	250Mi	3632m	15207Mi
running	164s	3979m	368Mi	8622m	15985Mi
running	174s	3979m	368Mi	8622m	15985Mi
running	184s	4193m	301Mi	8997m	16867Mi
running	195s	3997m	348Mi	8761m	17727Mi
running	205s	3997m	348Mi	8761m	17727Mi
running	215s	4432m	359Mi	9104m	18543Mi
running	225s	3895m	362Mi	9493m	18256Mi
running	236s	3895m	362Mi	9493m	18256Mi
running	246s	4345m	322Mi	10573m	16412Mi
running	256s	4623m	287Mi	8257m	17263Mi
running	266s	4623m	287Mi	8257m	17263Mi
running	276s	4360m	322Mi	8278m	18009Mi
running	287s	4268m	232Mi	8315m	18904Mi
running	297s	3950m	334Mi	10511m	19181Mi
running	307s	3950m	334Mi	10511m	19181Mi
running	317s	3184m	443Mi	9667m	17289Mi
running	328s	4819m	231Mi	11447m	18278Mi
running	338s	4819m	231Mi	11447m	18278Mi
running	348s	4149m	306Mi	9554m	19169Mi
running	358s	4070m	324Mi	9123m	20137Mi
running	368s	4070m	324Mi	9123m	20137Mi
running	379s	3734m	369Mi	9560m	21134Mi
running	389s	3893m	420Mi	10588m	21925Mi
running	399s	3893m	420Mi	10588m	21925Mi
running	409s	3533m	489Mi	11224m	19698Mi
running	420s	4536m	397Mi	11124m	20810Mi
running	430s	4536m	397Mi	11124m	20810Mi
running	440s	4116m	279Mi	11520m	22151Mi
running	450s	3580m	225Mi	11378m	23562Mi
running	460s	3580m	225Mi	11378m	23562Mi
