phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	3610m	999Mi	12168m	34838Mi
running	11s	3990m	639Mi	12071m	34910Mi
running	21s	3990m	639Mi	12071m	34910Mi
running	31s		9637m	34906Mi
running	42s		3162m	34128Mi
running	52s		3162m	34128Mi
running	62s	761m	44Mi	2761m	34277Mi
running	72s	874m	54Mi	2654m	34529Mi
running	82s	874m	54Mi	2654m	34529Mi
running	93s	823m	36Mi	1582m	31975Mi
running	103s	1389m	269Mi	1481m	32064Mi
running	113s	1389m	269Mi	1481m	32064Mi
running	123s	5137m	350Mi	10256m	32314Mi
running	134s	4879m	392Mi	11728m	32834Mi
running	144s	4879m	392Mi	11728m	32834Mi
running	154s	4375m	451Mi	10097m	33249Mi
running	164s	4268m	480Mi	11725m	34657Mi
running	174s	4268m	480Mi	5092m	35221Mi
running	185s	1057m	90Mi	5092m	35221Mi
running	195s	2935m	521Mi	8349m	35768Mi
running	205s	3821m	806Mi	10664m	35485Mi
running	215s	3821m	806Mi	10664m	35485Mi
running	225s	4701m	845Mi	14100m	35959Mi
running	236s	4171m	970Mi	12716m	37047Mi
running	246s	4171m	970Mi	12716m	37047Mi
running	256s	3906m	1184Mi	11702m	37426Mi
running	266s	3224m	1156Mi	11293m	37703Mi
running	277s	3224m	1156Mi	11293m	37703Mi
running	287s	3653m	1138Mi	13310m	38797Mi
running	297s	3381m	1057Mi	12719m	38035Mi
running	307s	3381m	1057Mi	12719m	38035Mi
running	317s	4401m	874Mi	12678m	37233Mi
running	328s	4302m	958Mi	12045m	38246Mi
running	338s	4302m	958Mi	12045m	38246Mi
running	348s	4114m	1009Mi	12535m	38482Mi
running	358s	3781m	1110Mi	11476m	38883Mi
running	368s	3781m	1110Mi	11476m	38883Mi
running	379s	4371m	1046Mi	13944m	39409Mi
running	389s	3779m	959Mi	11813m	40151Mi
running	399s	3779m	959Mi	11813m	40151Mi
running	409s	3387m	921Mi	11928m	39462Mi
running	420s	3940m	883Mi	14752m	40646Mi
running	430s	3869m	961Mi	13041m	41491Mi
running	440s	3869m	961Mi	13041m	41491Mi
running	450s	4060m	1099Mi	13186m	40594Mi
running	460s	3023m	1007Mi	12261m	40922Mi
running	471s	3023m	1007Mi	12261m	40922Mi
running	481s	4259m	1038Mi	12972m	42012Mi
running	491s	4556m	977Mi	14299m	42116Mi
