phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	1533m	37Mi	4874m	5345Mi
running	11s		496m	5331Mi
running	21s	721m	40Mi	1012m	5377Mi
running	31s	721m	40Mi	1012m	5377Mi
running	42s	882m	36Mi	999m	5414Mi
running	52s	875m	40Mi	1125m	5455Mi
running	62s	875m	40Mi	1125m	5455Mi
running	72s	878m	40Mi	1122m	5489Mi
running	82s	4552m	344Mi	6688m	6097Mi
running	93s	4552m	344Mi	6688m	6097Mi
running	103s	5207m	314Mi	10785m	7141Mi
running	113s	5213m	336Mi	10749m	8032Mi
running	123s	5213m	336Mi	10749m	8032Mi
running	134s	5118m	369Mi	9329m	8846Mi
running	144s	1040m	255Mi	6133m	6910Mi
running	154s	1040m	255Mi	6133m	6910Mi
running	164s	1661m	187Mi	4024m	7230Mi
running	174s	2057m	176Mi	2106m	7427Mi
running	185s	2046m	199Mi	1778m	7601Mi
running	195s	2046m	199Mi	1778m	7601Mi
running	205s	2034m	191Mi	1806m	7775Mi
running	215s	1965m	195Mi	2225m	7976Mi
running	225s	1965m	195Mi	2225m	7976Mi
running	236s	2006m	176Mi	2256m	8187Mi
running	246s	1981m	191Mi	2385m	8411Mi
running	256s	1981m	191Mi	2385m	8411Mi
running	266s	1991m	196Mi	2288m	8617Mi
running	277s	2063m	187Mi	2188m	8821Mi
running	287s	2063m	187Mi	2188m	8821Mi
running	297s	1962m	182Mi	2622m	9057Mi
running	307s	1998m	189Mi	2031m	9253Mi
running	317s	1998m	189Mi	2031m	9253Mi
running	328s	1960m	204Mi	2123m	9453Mi
running	338s	1997m	192Mi	2458m	9699Mi
running	348s	1997m	192Mi	2458m	9699Mi
running	358s	1988m	184Mi	2472m	9919Mi
running	368s	2017m	178Mi	2085m	10111Mi
running	379s	2017m	178Mi	2085m	10111Mi
running	389s	1989m	198Mi	2233m	10319Mi
running	399s	2035m	189Mi	2460m	10545Mi
running	409s	2035m	189Mi	2212m	10750Mi
running	420s	2040m	199Mi	2212m	10750Mi
running	430s	2038m	176Mi	3604m	7828Mi
running	440s	2081m	159Mi	1809m	8002Mi
running	450s	2081m	159Mi	1809m	8002Mi
