phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	29Mi	7m	5328Mi
running	10s		7m	5328Mi
running	20s		498m	5345Mi
running	31s	855m	36Mi	963m	5381Mi
running	41s	855m	36Mi	963m	5381Mi
running	51s	831m	39Mi	923m	5416Mi
running	61s	861m	42Mi	1157m	5455Mi
running	72s	3150m	310Mi	4393m	5861Mi
running	82s	3150m	310Mi	4393m	5861Mi
running	92s	5182m	355Mi	10731m	6836Mi
running	102s	5096m	383Mi	9548m	7697Mi
running	113s	5096m	383Mi	9548m	7697Mi
running	123s	4834m	453Mi	10598m	8722Mi
running	133s	2997m	405Mi	9016m	9641Mi
running	143s	2997m	405Mi	9016m	9641Mi
running	153s	1018m	190Mi	3758m	7332Mi
running	164s	2015m	208Mi	2242m	7544Mi
running	174s	2015m	208Mi	2242m	7544Mi
running	184s	2042m	190Mi	1839m	7718Mi
running	194s	2081m	173Mi	1910m	7897Mi
running	204s	2081m	173Mi	1910m	7897Mi
running	215s	2021m	212Mi	2547m	8178Mi
running	225s	2085m	190Mi	2215m	8351Mi
running	235s	2085m	190Mi	2215m	8351Mi
running	245s	2074m	195Mi	2345m	8567Mi
running	256s	1999m	182Mi	2229m	8777Mi
running	266s	1999m	182Mi	2229m	8777Mi
running	276s	1995m	214Mi	2279m	8981Mi
running	286s	2098m	172Mi	2461m	9211Mi
running	297s	2117m	161Mi	2388m	9440Mi
running	307s	2117m	161Mi	2388m	9440Mi
running	317s	2105m	193Mi	2328m	9667Mi
running	327s	2031m	197Mi	2417m	9894Mi
running	338s	2031m	197Mi	2417m	9894Mi
running	348s	2006m	195Mi	2946m	10210Mi
running	358s	1978m	195Mi	3198m	10479Mi
running	368s	1978m	195Mi	3198m	10479Mi
running	378s	2102m	210Mi	2484m	10710Mi
running	389s	1989m	166Mi	2560m	10271Mi
running	399s	1989m	166Mi	2560m	10271Mi
running	409s	1981m	213Mi	3775m	9991Mi
running	419s	1964m	194Mi	2659m	8163Mi
running	429s	1964m	194Mi	2659m	8163Mi
running	440s	2084m	195Mi	1717m	8339Mi
running	450s	1092m	67Mi	1261m	8453Mi
