
=== p10: 200/192 B (392 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +6.37% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
   48000      1.260      1.260     +0.05%±5.39      -0.77%±9.01      -0.32%±8.32     -0.13%   2
   50000      1.375      1.385     +0.85%±3.38      -1.17%±2.01      -1.76%±4.43     +0.13%   2
   52000      1.558      1.485     -4.57%±4.12      -3.48%±9.87      -4.43%±12.20    -0.25%   2
   54000      1.876      1.800     -2.95%±17.76     -5.27%±13.66     -6.19%±20.45    +0.25%   2
   56000      2.139      2.140     +0.07%±2.18      -3.68%±0.69      -3.92%±0.65     -0.00%   2
   58000      2.869      2.942     +2.58%±1.84      +1.61%±1.66      -2.65%±3.92     -0.00%   2
   60000      3.918      3.780     -3.52%±2.72     -11.12%±1.18     -12.71%±1.14     -0.12%   2
   62000      5.754      5.291     -7.31%±13.43    -13.87%±29.48    -15.99%±27.91    -0.01%   2
   64000      8.104      7.713     -4.89%±10.03     -8.10%±13.07     -3.77%±11.83    +0.01%   2
   66000     12.293     13.473    +10.87%±19.34    +12.39%±47.51    +12.18%±48.86    -0.03%   2
   68000     43.357     55.340    +38.04%±74.39    +34.43%±45.22    +29.69%±44.21    +0.50%   2
   70000    248.296    455.075   +103.46%±97.36    +98.85%±103.13    +88.66%±131.32    -1.19%   2
  pre-knee mean Δ = +0.63% (spread 1.48 across 21 steps) -> NOT resolved (error spans 0)

=== p50: 1536/320 B (1856 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +1.34% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
    2000      0.596      0.595     -0.08%±1.07      +1.34%±0.65      +0.00%±0.91     +0.00%   2
    4000      0.555      0.544     -2.12%±3.51      -3.82%±8.01      -3.81%±15.50    +0.13%   2
    6000      0.544      0.539     -0.83%±0.14      -3.93%±2.91      -4.44%±4.67     +0.00%   2
    8000      0.532      0.530     -0.32%±4.78      -0.85%±6.65     +12.83%±27.64    +0.13%   2
   10000      0.522      0.526     +0.96%±0.28      +3.48%±0.68      -6.79%±21.10    -0.25%   2
   12000      0.533      0.526     -1.40%±1.44      -2.47%±2.06      -6.05%±7.39     +0.13%   2
   14000      0.558      0.552     -1.07%±1.76      -4.52%±5.07     -15.32%±10.85    +0.12%   2
   16000      0.570      0.570     +0.00%±0.00      -0.45%±0.63      -2.69%±2.80     +0.12%   2
   18000      0.599      0.604     +0.84%±2.37      +2.97%±7.68     +23.98%±40.90    +0.00%   2
   20000      0.627      0.631     +0.64%±0.91      +3.14%±5.50      +6.45%±6.78     -0.00%   2
   22000      0.671      0.658     -1.93%±1.23      -5.07%±2.45     -29.99%±13.28    +0.00%   2
   24000      0.709      0.711     +0.35%±4.60      +1.79%±9.48     +12.41%±25.34    -0.12%   2
   26000      0.740      0.744     +0.49%±2.58      +2.71%±5.49      +4.67%±8.31     -0.00%   2
   28000      0.805      0.800     -0.67%±2.01      -1.06%±1.50      -8.39%±13.39    +0.25%   2
   30000      0.855      0.870     +1.83%±1.77      +1.49%±3.49      +1.59%±2.24     +0.13%   2
   32000      0.911      0.909     -0.21%±5.04      -1.13%±4.24      -2.92%±5.82     +0.13%   2
   34000      0.941      0.927     -1.41%±2.30      -0.63%±2.16      -1.25%±2.18     -0.25%   2
   36000      0.991      0.985     -0.61%±0.29      +0.02%±2.31      -5.60%±8.65     -0.12%   2
   38000      1.045      1.026     -1.81%±0.93      -1.76%±0.87      -1.75%±2.48     -0.12%   2
   40000      1.108      1.078     -2.75%±0.11      -3.82%±0.74      -8.53%±3.63     -0.13%   2
   42000      1.126      1.156     +2.73%±1.90      +7.87%±0.65     +10.55%±0.04     +0.00%   2
   44000      1.225      1.228     +0.26%±0.82      +1.43%±4.91      +4.48%±7.55     +0.00%   2
   46000      1.322      1.393     +5.28%±3.41     +27.10%±29.13    +24.40%±23.34    -0.01%   2
   48000      1.695      1.533     -7.10%±14.75    -18.98%±39.19    -15.74%±39.14    +0.13%   2
   50000      1.985      2.123     +6.07%±4.86     +16.29%±17.85    +13.29%±22.27    +0.00%   2
   52000      3.978      8.830    +83.56%±101.96    +77.65%±86.50    +86.91%±94.24    -0.13%   2
   54000     51.086     86.090    +51.60%±25.26    +48.51%±74.30   +103.04%±131.39    -0.40%   2
   56000    361.516    382.992     -5.25%±16.28     -2.82%±26.71     +0.63%±33.86    -0.47%   2
   58000    185.860    243.187    +30.84%±0.00     +23.05%±0.00     +19.23%±0.00     -0.47%   1
   60000    853.458    858.644     +0.61%±0.00      -1.63%±0.00      -1.57%±0.00     +0.02%   1
   62000   1332.890   1305.098     -2.09%±0.00      -3.16%±0.00     -10.37%±0.00     +0.46%   1
  pre-knee mean Δ = -0.31% (spread 1.06 across 18 steps) -> NOT resolved (error spans 0)

=== p50: 1536/320 B (1856 B round trip) — bridge 'sb' (mean +32.95 B on request, +1.78% of round trip, CV_size=2.86) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
