step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.28	20.29ms	54.43ms	0
2200	2195.53	21.68ms	54.27ms	0
2400	2374.55	17.04ms	41.41ms	0
2600	2575.09	24.30ms	51.55ms	0
2800	2795.22	28.32ms	60.58ms	0
3000	2961.15	47.22ms	90.18ms	0
3200	3161.87	46.82ms	113.73ms	0
3400	3355.37	68.75ms	186.75ms	0
3600	3563.09	176.65ms	449.02ms	0
3800	3707.10	707.49ms	1.94s	0
4000	3533.98	3.72s	8.86s	0
