phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	299s	3312m	204Mi	7337m	11434Mi	79m	71Mi
45m	66Mi
49m	65Mi
48m	70Mi
63m	71Mi
53m	65Mi
51m	64Mi
159m	82Mi
42m	55Mi
running	310s	3378m	206Mi	5862m	11955Mi	82m	71Mi
45m	66Mi
50m	65Mi
48m	68Mi
60m	66Mi
53m	65Mi
47m	64Mi
157m	80Mi
46m	55Mi
running	320s	3378m	206Mi	5862m	11955Mi	82m	71Mi
45m	66Mi
50m	65Mi
48m	68Mi
60m	66Mi
53m	65Mi
47m	64Mi
157m	80Mi
46m	55Mi
running	330s	3246m	214Mi	6165m	12469Mi	79m	75Mi
47m	70Mi
48m	65Mi
47m	66Mi
65m	66Mi
48m	65Mi
50m	64Mi
158m	73Mi
49m	55Mi
running	341s	3390m	193Mi	6242m	13021Mi	82m	71Mi
45m	70Mi
44m	65Mi
45m	69Mi
63m	69Mi
50m	65Mi
49m	63Mi
155m	67Mi
45m	55Mi
running	351s	3390m	193Mi	6242m	13021Mi	82m	71Mi
45m	70Mi
44m	65Mi
45m	69Mi
63m	69Mi
50m	65Mi
49m	63Mi
155m	67Mi
45m	55Mi
running	361s	3440m	214Mi	5452m	13591Mi	77m	71Mi
41m	70Mi
50m	68Mi
42m	68Mi
60m	68Mi
51m	65Mi
47m	64Mi
159m	82Mi
50m	55Mi
running	372s	3337m	260Mi	5572m	14107Mi	81m	75Mi
48m	67Mi
46m	68Mi
48m	66Mi
60m	68Mi
48m	65Mi
49m	62Mi
159m	79Mi
45m	55Mi
running	382s	3433m	168Mi	5128m	14539Mi	79m	72Mi
46m	66Mi
48m	68Mi
44m	65Mi
59m	68Mi
52m	65Mi
48m	62Mi
157m	73Mi
46m	55Mi
running	392s	3433m	168Mi	5128m	14539Mi	79m	72Mi
46m	66Mi
48m	68Mi
44m	65Mi
59m	68Mi
52m	65Mi
48m	62Mi
157m	73Mi
46m	55Mi
running	403s	3365m	237Mi	5190m	15048Mi	81m	72Mi
39m	66Mi
44m	71Mi
44m	65Mi
62m	68Mi
50m	65Mi
49m	63Mi
155m	82Mi
54m	55Mi
running	413s	3255m	316Mi	6918m	15742Mi	78m	76Mi
43m	70Mi
47m	69Mi
48m	64Mi
64m	65Mi
48m	65Mi
47m	63Mi
157m	77Mi
45m	55Mi
running	423s	3255m	316Mi	6918m	15742Mi	78m	76Mi
43m	70Mi
47m	69Mi
48m	64Mi
64m	65Mi
48m	65Mi
47m	63Mi
157m	77Mi
45m	55Mi
running	434s	3143m	226Mi	7817m	12520Mi	81m	72Mi
45m	70Mi
46m	66Mi
48m	67Mi
58m	65Mi
50m	68Mi
49m	63Mi
159m	73Mi
43m	55Mi
running	444s	3382m	227Mi	4738m	12849Mi	80m	73Mi
47m	69Mi
43m	65Mi
48m	69Mi
62m	66Mi
51m	70Mi
48m	63Mi
155m	85Mi
49m	57Mi
running	454s	3382m	227Mi	4738m	12849Mi	80m	73Mi
47m	69Mi
43m	65Mi
48m	69Mi
62m	66Mi
51m	70Mi
48m	63Mi
155m	85Mi
49m	57Mi
