step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1998.42	12.16ms	45.02ms	0
2200	2194.97	22.67ms	52.80ms	0
2400	2371.58	27.05ms	58.75ms	0
2600	2570.32	30.02ms	119.23ms	0
2800	2794.95	33.46ms	107.90ms	0
3000	2954.49	52.85ms	304.64ms	0
3200	3154.00	45.97ms	138.62ms	0
3400	3357.60	98.27ms	249.60ms	0
3600	3554.25	218.52ms	587.78ms	0
3800	3668.16	1.07s	2.57s	0
4000	3413.47	4.61s	9.91s	0
