phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	44m	177Mi	1780m	13579Mi
running	10s		1780m	13579Mi
running	21s		2346m	13748Mi
running	31s	765m	41Mi	2046m	13120Mi
running	41s	765m	41Mi	2046m	13120Mi
running	51s	745m	49Mi	1809m	13197Mi
running	62s	798m	41Mi	1739m	13241Mi
running	72s	798m	41Mi	1739m	13241Mi
running	82s	2665m	405Mi	4101m	13606Mi
running	92s	5130m	336Mi	9888m	14704Mi
running	102s	5130m	336Mi	9888m	14704Mi
running	113s	5028m	410Mi	12216m	15452Mi
running	123s	4079m	455Mi	14050m	16878Mi
running	133s	4079m	455Mi	14050m	16878Mi
running	143s	3571m	286Mi	10089m	15550Mi
running	154s	1465m	366Mi	5050m	16039Mi
running	164s	1465m	366Mi	5050m	16039Mi
running	174s	4350m	255Mi	8807m	15979Mi
running	184s	3972m	293Mi	9763m	16953Mi
running	194s	3972m	293Mi	9271m	16655Mi
running	205s	4467m	239Mi	9271m	16655Mi
running	215s	4094m	338Mi	8041m	16722Mi
running	225s	4197m	297Mi	7508m	17530Mi
running	235s	4197m	297Mi	7508m	17530Mi
running	245s	3907m	400Mi	8890m	16686Mi
running	256s	4516m	251Mi	9422m	16997Mi
running	266s	4516m	251Mi	9422m	16997Mi
running	276s	4214m	292Mi	9646m	18014Mi
running	286s	3779m	408Mi	9734m	18146Mi
running	297s	3779m	408Mi	9734m	18146Mi
running	307s	4174m	299Mi	9457m	18236Mi
running	317s	4126m	329Mi	9843m	19270Mi
running	327s	4126m	329Mi	9843m	19270Mi
running	337s	3953m	360Mi	10654m	18844Mi
running	348s	3999m	375Mi	10069m	19327Mi
running	358s	3999m	375Mi	10069m	19327Mi
running	368s	4107m	294Mi	10708m	20237Mi
running	378s	3714m	405Mi	9972m	20553Mi
running	388s	3714m	405Mi	9972m	20553Mi
running	399s	4147m	372Mi	10680m	20688Mi
running	409s	3610m	399Mi	9542m	20590Mi
running	419s	3610m	399Mi	9542m	20590Mi
running	429s	3499m	426Mi	9724m	20154Mi
running	440s	4324m	382Mi	10577m	20555Mi
running	450s	2993m	313Mi	6912m	21214Mi
running	460s	2993m	313Mi	6912m	21214Mi
