phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	4293m	1034Mi	14638m	33896Mi
running	10s	4293m	1034Mi	14638m	33896Mi
running	20s	2848m	808Mi	11951m	35021Mi
running	30s	3424m	495Mi	12803m	35531Mi
running	41s		12803m	35531Mi
running	51s		5433m	33977Mi
running	61s	530m	55Mi	3248m	33821Mi
running	71s	530m	55Mi	3592m	32175Mi
running	82s	964m	53Mi	3592m	32175Mi
running	92s	848m	40Mi	2705m	32396Mi
running	102s	719m	53Mi	2109m	29187Mi
running	112s	719m	53Mi	2109m	29187Mi
running	122s	4155m	361Mi	7120m	29768Mi
running	133s	5359m	333Mi	10042m	30080Mi
running	143s	5359m	333Mi	10042m	30080Mi
running	153s	5045m	365Mi	10930m	31149Mi
running	163s	5080m	362Mi	9849m	32221Mi
running	174s	5080m	362Mi	9849m	32221Mi
running	184s	1235m	317Mi	5295m	32106Mi
running	194s	1806m	469Mi	4579m	32855Mi
running	204s	1806m	469Mi	4579m	32855Mi
running	214s	3827m	637Mi	8245m	32929Mi
running	225s	4515m	748Mi	10824m	32432Mi
running	235s	4515m	748Mi	10824m	32432Mi
running	245s	4562m	849Mi	11129m	32907Mi
running	255s	4621m	920Mi	13012m	34309Mi
running	265s	4621m	920Mi	13012m	34309Mi
running	276s	4143m	1057Mi	12531m	35642Mi
running	286s	3108m	1117Mi	10195m	35955Mi
running	296s	3108m	1117Mi	10195m	35955Mi
running	306s	3855m	1058Mi	13904m	35189Mi
running	317s	3842m	1069Mi	11872m	35430Mi
running	327s	4064m	973Mi	11353m	36601Mi
running	337s	4064m	973Mi	11353m	36601Mi
running	347s	3776m	994Mi	9902m	34900Mi
running	357s	3950m	1043Mi	11283m	36005Mi
running	368s	3950m	1043Mi	11283m	36005Mi
running	378s	4001m	1000Mi	11939m	35026Mi
running	388s	3902m	898Mi	11783m	35995Mi
running	398s	3902m	898Mi	11783m	35995Mi
running	409s	4110m	919Mi	9592m	37172Mi
running	419s	3507m	922Mi	11046m	37799Mi
running	429s	3507m	922Mi	11046m	37799Mi
running	439s	3423m	921Mi	10955m	38274Mi
running	449s	3979m	868Mi	13033m	38770Mi
running	460s	3979m	868Mi	13033m	38770Mi
running	470s	3486m	845Mi	12989m	37323Mi
running	480s	3942m	1001Mi	12419m	38376Mi
running	490s	3942m	1001Mi	12419m	38376Mi
running	500s	3109m	996Mi	9961m	39320Mi
