step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.13	18.28ms	49.09ms	0
2200	2197.11	25.18ms	59.81ms	0
2400	2374.52	30.71ms	73.09ms	0
2600	2579.16	27.95ms	121.92ms	0
2800	2789.19	36.23ms	193.02ms	0
3000	2959.25	46.75ms	170.75ms	0
3200	3159.79	44.89ms	135.04ms	0
3400	3354.72	105.19ms	214.91ms	0
3600	3566.98	247.81ms	480.26ms	0
3800	3609.99	2.29s	3.24s	0
4000	3515.64	3.39s	7.21s	0
