phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	37Mi	7m	5268Mi
running	11s		218m	5270Mi
running	21s		218m	5270Mi
running	31s	886m	37Mi	1286m	5332Mi
running	41s	885m	37Mi	903m	5368Mi
running	51s	885m	37Mi	903m	5368Mi
running	62s	890m	42Mi	985m	5403Mi
running	72s	1142m	131Mi	1059m	5443Mi
running	82s	1142m	131Mi	1059m	5443Mi
running	92s	5580m	285Mi	8522m	6269Mi
running	103s	5355m	279Mi	9481m	7200Mi
running	113s	5235m	359Mi	9833m	8151Mi
running	123s	5235m	359Mi	9833m	8151Mi
running	133s	4757m	393Mi	9159m	9070Mi
running	143s	316m	83Mi	5500m	7020Mi
running	154s	316m	83Mi	5500m	7020Mi
running	164s	1990m	187Mi	2679m	7261Mi
running	174s	2101m	192Mi	1833m	7436Mi
running	184s	2101m	192Mi	1833m	7436Mi
running	194s	2052m	195Mi	1776m	7611Mi
running	205s	2048m	179Mi	1796m	7780Mi
running	215s	2048m	179Mi	1796m	7780Mi
running	225s	2017m	192Mi	2238m	7984Mi
running	235s	2024m	190Mi	2215m	8194Mi
running	246s	2024m	190Mi	2215m	8194Mi
running	256s	2044m	174Mi	2307m	8415Mi
running	266s	1977m	150Mi	2295m	8645Mi
running	276s	1977m	150Mi	2295m	8645Mi
running	287s	2031m	228Mi	2296m	8868Mi
running	297s	1977m	199Mi	2250m	9095Mi
running	307s	1977m	199Mi	2250m	9095Mi
running	317s	2013m	197Mi	2213m	9316Mi
running	327s	2035m	216Mi	2381m	9564Mi
running	338s	2028m	207Mi	2402m	9777Mi
running	348s	2028m	207Mi	2402m	9777Mi
running	358s	2041m	198Mi	2317m	10009Mi
running	368s	2028m	188Mi	2294m	10235Mi
running	378s	2028m	188Mi	2294m	10235Mi
running	389s	2048m	198Mi	1724m	10419Mi
running	399s	2034m	183Mi	2978m	10164Mi
running	409s	2034m	183Mi	2978m	10164Mi
running	419s	1939m	197Mi	3137m	10431Mi
running	430s	1974m	185Mi	3326m	8095Mi
running	440s	1974m	185Mi	3326m	8095Mi
running	450s	1821m	179Mi	2777m	8324Mi
