phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	108Mi	387m	7686Mi
running	10s		74m	7686Mi
running	20s	822m	37Mi	792m	7726Mi
running	31s	822m	37Mi	792m	7726Mi
running	41s	835m	40Mi	780m	7760Mi
running	51s	869m	33Mi	747m	7793Mi
running	61s	869m	33Mi	747m	7793Mi
running	71s	833m	39Mi	782m	7827Mi
running	82s	4980m	329Mi	7848m	8546Mi
running	92s	4980m	329Mi	7848m	8546Mi
running	102s	5054m	368Mi	10605m	9709Mi
running	112s	5222m	325Mi	10814m	10747Mi
running	122s	5222m	325Mi	10814m	10747Mi
running	133s	4548m	450Mi	9978m	11610Mi
running	143s	768m	102Mi	2849m	11907Mi
running	153s	768m	102Mi	2849m	11907Mi
running	163s	2498m	203Mi	5811m	12577Mi
running	174s	3285m	214Mi	6780m	9984Mi
running	184s	3285m	214Mi	6780m	9984Mi
running	194s	3383m	182Mi	4621m	10323Mi
running	204s	3380m	206Mi	5165m	10806Mi
running	214s	3463m	234Mi	4819m	11364Mi
running	225s	3463m	234Mi	4819m	11364Mi
running	235s	3424m	180Mi	5303m	11830Mi
running	245s	3390m	214Mi	4606m	12288Mi
running	255s	3390m	214Mi	4606m	12288Mi
running	265s	3424m	192Mi	5533m	12754Mi
running	276s	3408m	274Mi	4845m	13235Mi
running	286s	3408m	274Mi	4845m	13235Mi
running	296s	3227m	240Mi	6372m	13993Mi
running	307s	3280m	220Mi	6718m	10817Mi
running	317s	3280m	220Mi	6718m	10817Mi
running	327s	3269m	251Mi	5104m	11235Mi
running	337s	3341m	297Mi	5146m	11722Mi
running	347s	3341m	297Mi	5146m	11722Mi
running	358s	3284m	214Mi	3956m	12178Mi
running	368s	3217m	309Mi	5998m	12735Mi
running	378s	3217m	309Mi	5998m	12735Mi
running	388s	3249m	221Mi	5153m	13266Mi
running	399s	3333m	198Mi	5043m	13769Mi
running	409s	3333m	198Mi	5043m	13769Mi
running	419s	3434m	207Mi	5284m	14194Mi
running	429s	3179m	355Mi	5615m	14851Mi
running	439s	3313m	200Mi	6907m	11852Mi
running	450s	3313m	200Mi	6907m	11852Mi
running	460s	759m	166Mi	3793m	12114Mi
