phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	397m	105Mi	534m	8052Mi
running	11s		486m	8097Mi
running	21s		486m	8097Mi
running	31s	852m	36Mi	791m	8133Mi
running	41s	843m	39Mi	807m	8168Mi
running	52s	843m	39Mi	807m	8168Mi
running	62s	832m	38Mi	837m	8203Mi
running	72s	2150m	288Mi	2558m	8402Mi
running	82s	2150m	288Mi	2558m	8402Mi
running	92s	5256m	371Mi	9915m	9405Mi
running	103s	4955m	336Mi	12235m	10562Mi
running	113s	4955m	336Mi	12235m	10562Mi
running	123s	4741m	442Mi	9603m	11434Mi
running	133s	4112m	375Mi	10202m	12504Mi
running	143s	4112m	375Mi	10202m	12504Mi
running	154s	280m	125Mi	4771m	9963Mi
running	164s	3393m	261Mi	4731m	10382Mi
running	174s	3393m	261Mi	4731m	10382Mi
running	184s	3482m	254Mi	4022m	10759Mi
running	195s	3342m	214Mi	5507m	11274Mi
running	205s	3521m	189Mi	4823m	11805Mi
running	215s	3521m	189Mi	4823m	11805Mi
running	225s	3396m	251Mi	6194m	12385Mi
running	235s	3432m	200Mi	5430m	12922Mi
running	246s	3432m	200Mi	5430m	12922Mi
running	256s	3445m	232Mi	6090m	13434Mi
running	266s	3389m	222Mi	5207m	13904Mi
running	276s	3389m	222Mi	5207m	13904Mi
running	286s	3205m	235Mi	7612m	14183Mi
running	297s	3184m	243Mi	6535m	11531Mi
running	307s	3184m	243Mi	6535m	11531Mi
running	317s	3343m	392Mi	4586m	11986Mi
running	327s	3365m	259Mi	6676m	12674Mi
running	338s	3365m	259Mi	6676m	12674Mi
running	348s	3393m	217Mi	6730m	13403Mi
running	358s	3283m	193Mi	7175m	14014Mi
running	368s	3283m	193Mi	7175m	14014Mi
running	378s	3320m	283Mi	7759m	14717Mi
running	389s	3415m	203Mi	6750m	14415Mi
running	399s	3415m	203Mi	6750m	14415Mi
running	409s	3509m	238Mi	4693m	14934Mi
running	419s	3244m	331Mi	6420m	15470Mi
running	429s	3343m	221Mi	6424m	12866Mi
running	440s	3343m	221Mi	6424m	12866Mi
running	450s	3293m	223Mi	5293m	13404Mi
