phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	300s	3053m	233Mi	6468m	11637Mi	46m	63Mi
43m	58Mi
61m	66Mi
48m	65Mi
51m	69Mi
45m	68Mi
154m	77Mi
76m	72Mi
46m	68Mi
running	310s	3230m	203Mi	8412m	12339Mi	48m	63Mi
49m	55Mi
61m	66Mi
46m	62Mi
51m	67Mi
46m	66Mi
160m	81Mi
75m	72Mi
45m	65Mi
running	321s	3092m	305Mi	7576m	13057Mi	44m	63Mi
45m	55Mi
62m	65Mi
45m	62Mi
47m	67Mi
41m	67Mi
156m	70Mi
73m	71Mi
45m	65Mi
running	331s	3092m	305Mi	7576m	13057Mi	44m	63Mi
45m	55Mi
62m	65Mi
45m	62Mi
47m	67Mi
41m	67Mi
156m	70Mi
73m	71Mi
45m	65Mi
running	341s	3158m	237Mi	5918m	13579Mi	47m	62Mi
44m	55Mi
60m	68Mi
46m	62Mi
52m	67Mi
45m	66Mi
151m	80Mi
77m	71Mi
41m	65Mi
running	352s	3206m	225Mi	4954m	14044Mi	46m	61Mi
50m	56Mi
63m	68Mi
52m	65Mi
51m	66Mi
43m	64Mi
154m	73Mi
74m	72Mi
43m	64Mi
running	362s	3206m	225Mi	4954m	14044Mi	46m	61Mi
50m	56Mi
63m	68Mi
52m	65Mi
51m	66Mi
43m	64Mi
154m	73Mi
74m	72Mi
43m	64Mi
running	372s	3447m	256Mi	4556m	14486Mi	51m	62Mi
46m	57Mi
64m	68Mi
47m	65Mi
48m	66Mi
41m	64Mi
154m	74Mi
80m	72Mi
43m	64Mi
running	383s	3410m	237Mi	5076m	14985Mi	44m	62Mi
50m	56Mi
61m	67Mi
48m	64Mi
50m	65Mi
44m	64Mi
153m	77Mi
76m	72Mi
42m	64Mi
running	393s	3410m	237Mi	5076m	14985Mi	44m	62Mi
50m	56Mi
61m	67Mi
48m	64Mi
50m	65Mi
44m	64Mi
153m	77Mi
76m	72Mi
42m	64Mi
running	403s	3350m	184Mi	5527m	14659Mi	47m	62Mi
44m	56Mi
61m	67Mi
44m	64Mi
50m	65Mi
47m	65Mi
152m	80Mi
79m	72Mi
46m	65Mi
running	414s	3391m	226Mi	5952m	14254Mi	47m	63Mi
45m	56Mi
61m	67Mi
47m	62Mi
48m	65Mi
41m	65Mi
154m	79Mi
75m	72Mi
