step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1995.45	18.14ms	45.25ms	0
2200	2196.96	38.62ms	76.35ms	0
2400	2373.36	38.43ms	80.25ms	0
2600	2581.73	34.15ms	70.59ms	0
2800	2788.02	34.49ms	83.07ms	0
3000	2960.31	66.63ms	144.90ms	0
3200	3156.43	82.44ms	173.31ms	0
3400	3325.92	281.26ms	981.50ms	0
3600	3319.57	2.25s	4.80s	0
3800	3183.13	5.21s	9.89s	0
4000	3065.36	7.86s	14.07s	0
