step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1991.94	16.01ms	48.45ms	0
2200	2197.81	16.84ms	43.84ms	0
2400	2372.39	16.23ms	37.79ms	0
2600	2581.29	21.56ms	50.75ms	0
2800	2793.07	21.04ms	55.23ms	0
3000	2961.03	41.61ms	99.84ms	0
3200	3164.18	51.37ms	129.60ms	0
3400	3357.18	87.43ms	213.50ms	0
3600	3568.94	334.31ms	823.81ms	0
3800	3670.76	1.31s	2.92s	0
4000	3519.78	3.98s	8.96s	0
