phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	1183m	57Mi	1893m	5360Mi
running	10s		1893m	5360Mi
running	20s		719m	5396Mi
running	31s	864m	37Mi	963m	5430Mi
running	41s	864m	37Mi	963m	5430Mi
running	51s	835m	38Mi	942m	5465Mi
running	61s	859m	38Mi	1200m	5499Mi
running	71s	859m	38Mi	1200m	5499Mi
running	82s	2532m	346Mi	3509m	5782Mi
running	92s	5104m	345Mi	9009m	6588Mi
running	102s	5104m	345Mi	9009m	6588Mi
running	112s	5120m	273Mi	9502m	7458Mi
running	123s	5179m	289Mi	8582m	8291Mi
running	133s	3259m	130Mi	6469m	8915Mi
running	143s	3259m	130Mi	6469m	8915Mi
running	153s	746m	247Mi	2996m	8707Mi
running	163s	1881m	183Mi	5578m	7183Mi
running	174s	1881m	183Mi	5578m	7183Mi
running	184s	1927m	166Mi	3306m	7447Mi
running	194s	1949m	177Mi	1775m	7616Mi
running	204s	1949m	177Mi	1775m	7616Mi
running	214s	2025m	189Mi	1803m	7770Mi
running	225s	1977m	199Mi	1964m	7948Mi
running	235s	1977m	199Mi	1964m	7948Mi
running	245s	1986m	180Mi	2137m	8145Mi
running	255s	1983m	187Mi	2239m	8350Mi
running	266s	1983m	187Mi	2239m	8350Mi
running	276s	1890m	194Mi	2454m	8576Mi
running	286s	2032m	205Mi	2042m	8774Mi
running	296s	2032m	205Mi	2042m	8774Mi
running	306s	1996m	188Mi	2086m	8954Mi
running	317s	1895m	183Mi	2753m	9212Mi
running	327s	1895m	183Mi	2753m	9212Mi
running	337s	2046m	182Mi	1719m	9370Mi
running	347s	1989m	206Mi	2382m	9588Mi
running	358s	2031m	196Mi	2203m	9804Mi
running	368s	2031m	196Mi	2203m	9804Mi
running	378s	2026m	196Mi	1865m	9981Mi
running	388s	1999m	180Mi	2376m	10197Mi
running	398s	1999m	180Mi	2376m	10197Mi
running	409s	1911m	203Mi	2085m	10391Mi
running	419s	1995m	177Mi	2123m	10586Mi
running	429s	1995m	177Mi	2123m	10586Mi
running	439s	1893m	164Mi	3790m	7623Mi
running	449s	1234m	110Mi	1498m	7756Mi
