step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.38	23.56ms	65.79ms	0
2200	2190.50	83.89ms	240.26ms	0
2400	1892.35	2.88s	12.35s	0
2600	1426.30	17.52s	27.13s	0
2800	557.77	23.57s	47.51s	2057
3000	639.08	23.61s	46.50s	1495
3200	250.14	32.85s	0.91m	5724
3400	329.02	31.18s	0.89m	3455
3600	284.72	31.04s	0.88m	7165
3800	273.34	30.24s	0.90m	8949
4000	283.09	32.83s	0.91m	13872
