step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1993.30	12.96ms	34.81ms	0
2200	2197.54	16.49ms	42.21ms	0
2400	2374.96	20.51ms	46.21ms	0
2600	2578.53	32.69ms	69.69ms	0
2800	2793.14	34.94ms	79.49ms	0
3000	2953.70	46.18ms	137.21ms	0
3200	3165.15	121.93ms	394.49ms	0
3400	3357.32	244.72ms	547.33ms	0
3600	3551.85	926.48ms	1.44s	0
3800	3725.34	600.32ms	1.12s	0
4000	3563.14	3.05s	6.49s	0
