phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	1092m	67Mi	1261m	8453Mi
running	10s		4m	8453Mi
running	21s	668m	40Mi	916m	8490Mi
running	31s	668m	40Mi	916m	8490Mi
running	41s	877m	38Mi	789m	8526Mi
running	51s	886m	40Mi	846m	8569Mi
running	61s	886m	40Mi	921m	8605Mi
running	72s	894m	37Mi	921m	8605Mi
running	82s	3993m	344Mi	6917m	9216Mi
running	92s	5190m	368Mi	10742m	10332Mi
running	102s	5190m	368Mi	10742m	10332Mi
running	112s	4967m	389Mi	11354m	11295Mi
running	123s	4399m	474Mi	8935m	12233Mi
running	133s	4399m	474Mi	8935m	12233Mi
running	143s	2244m	410Mi	9891m	10305Mi
running	153s	1808m	218Mi	5353m	10843Mi
running	164s	1808m	218Mi	5353m	10843Mi
running	174s	3459m	204Mi	5563m	11382Mi
running	184s	3208m	297Mi	6138m	11954Mi
running	194s	3208m	297Mi	6138m	11954Mi
running	204s	3358m	218Mi	6805m	12486Mi
running	215s	3337m	218Mi	5331m	12916Mi
running	225s	3337m	218Mi	5331m	12916Mi
running	235s	3373m	336Mi	4842m	13373Mi
running	245s	3354m	210Mi	5354m	14059Mi
running	256s	3354m	210Mi	5354m	14059Mi
running	266s	3244m	412Mi	6560m	14762Mi
running	276s	3165m	314Mi	8100m	14681Mi
running	286s	3165m	314Mi	8147m	12057Mi
running	297s	3225m	241Mi	8147m	12057Mi
running	307s	3435m	235Mi	5380m	12495Mi
running	317s	3427m	266Mi	5322m	12994Mi
running	328s	3427m	266Mi	5322m	12994Mi
running	338s	3632m	274Mi	4604m	13423Mi
running	348s	3422m	235Mi	4899m	13903Mi
running	358s	3422m	235Mi	4899m	13903Mi
running	368s	3510m	259Mi	4791m	14467Mi
running	379s	3459m	202Mi	6115m	15221Mi
running	389s	3459m	202Mi	6115m	15221Mi
running	399s	3379m	235Mi	7480m	15928Mi
running	409s	3113m	347Mi	8002m	15987Mi
running	419s	3113m	347Mi	8002m	15987Mi
running	430s	3209m	284Mi	8514m	13407Mi
running	440s	3458m	235Mi	5546m	13967Mi
running	450s	3458m	235Mi	5546m	13967Mi
running	460s	1696m	83Mi	3208m	14422Mi
