step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1989.98	11.41ms	35.94ms	0
2200	2190.50	19.08ms	54.49ms	0
2400	2370.20	21.54ms	55.42ms	0
2600	2573.15	29.95ms	90.56ms	0
2800	2791.99	24.66ms	81.28ms	0
3000	2945.97	28.38ms	86.27ms	0
3200	3145.88	122.44ms	432.38ms	0
3400	3348.06	50.82ms	186.11ms	0
3600	3555.76	59.98ms	155.90ms	0
3800	3766.59	122.12ms	306.43ms	0
4000	3888.20	358.43ms	960.00ms	0
4200	4125.83	731.91ms	1.52s	0
4400	4180.07	1.54s	2.48s	0
4600	4104.50	2.43s	3.79s	0
4800	3988.76	3.22s	5.15s	0
5000	3662.31	5.76s	8.25s	0
