step	cluster_cp_mean	cluster_cp_min	cluster_cp_max	cluster_lp_mean	worstcp_mean	worstcp_min	worstcp_max
2000	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2400	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2600	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2800	0.0	0.0	0.0	3.1	0.0	0.0	0.0
3000	0.0	0.0	0.0	62.7	0.0	0.0	0.0
3200	1.6	0.0	5.3	88.2	8.8	0.0	31.7
3400	0.2	0.0	0.8	80.8	1.0	0.0	4.9
3600	0.2	0.0	0.6	84.4	1.0	0.0	3.5
3800	1.2	0.0	4.6	90.6	6.6	0.0	26.9
4000	5.1	1.3	10.0	94.2	25.5	5.3	50.6
