phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	3641m	919Mi	11432m	34826Mi
running	10s	3269m	544Mi	11663m	36095Mi
running	20s	3269m	544Mi	11663m	36095Mi
running	30s	3269m	544Mi	11663m	36095Mi
running	41s		4778m	36352Mi
running	51s		4778m	36352Mi
running	61s	764m	38Mi	4670m	36705Mi
running	71s	726m	53Mi	4667m	36938Mi
running	82s	726m	53Mi	4667m	36938Mi
running	92s	809m	47Mi	4432m	35997Mi
running	102s	1103m	223Mi	4518m	34369Mi
running	112s	1103m	223Mi	4518m	34369Mi
running	122s	5093m	403Mi	11237m	35286Mi
running	133s	5002m	390Mi	13107m	35702Mi
running	143s	5002m	390Mi	13107m	35702Mi
running	153s	3552m	453Mi	11250m	35459Mi
running	163s	4718m	531Mi	11406m	35719Mi
running	173s	4718m	531Mi	11406m	35719Mi
running	184s	1667m	97Mi	8042m	35099Mi
running	194s	2962m	523Mi	7798m	35832Mi
running	204s	2962m	523Mi	7798m	35832Mi
running	214s	4177m	724Mi	11878m	35396Mi
running	225s	4836m	1056Mi	13228m	36616Mi
running	235s	4451m	1178Mi	14342m	37409Mi
running	245s	4451m	1178Mi	14342m	37409Mi
running	255s	4135m	1368Mi	12519m	37473Mi
running	265s	3427m	1216Mi	9657m	37655Mi
running	276s	3427m	1216Mi	9657m	37655Mi
running	286s	3703m	1143Mi	10338m	35767Mi
running	296s	4550m	921Mi	12122m	36985Mi
running	306s	4550m	921Mi	12122m	36985Mi
running	317s	4923m	1021Mi	11359m	37071Mi
running	327s	4364m	1139Mi	10262m	37949Mi
running	337s	4364m	1139Mi	10262m	37949Mi
running	347s	3672m	1111Mi	9842m	37781Mi
running	357s	4180m	863Mi	13168m	37694Mi
running	368s	4180m	863Mi	13168m	37694Mi
running	378s	3889m	944Mi	12520m	38848Mi
running	388s	3909m	919Mi	11800m	39134Mi
running	398s	3909m	919Mi	11800m	39134Mi
running	408s	3999m	1040Mi	12330m	40428Mi
running	419s	2979m	933Mi	11576m	40869Mi
running	429s	2979m	933Mi	11576m	40869Mi
running	439s	4560m	910Mi	13888m	40863Mi
running	449s	3257m	988Mi	11418m	40239Mi
running	460s	4100m	1102Mi	10888m	40500Mi
running	470s	4100m	1102Mi	10888m	40500Mi
running	480s	4522m	1057Mi	13759m	41408Mi
running	490s	2569m	1058Mi	7659m	42528Mi
running	500s	2569m	1058Mi	7659m	42528Mi
