phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	4165m	925Mi	12940m	29411Mi
running	10s	3140m	576Mi	10747m	29448Mi
running	21s	3140m	576Mi	10747m	29448Mi
running	31s		6098m	28701Mi
running	41s		2507m	27460Mi
running	51s	874m	41Mi	1819m	27522Mi
running	61s	874m	41Mi	1819m	27522Mi
running	72s	780m	44Mi	1810m	27590Mi
running	82s	825m	39Mi	1757m	27668Mi
running	92s	825m	39Mi	1757m	27668Mi
running	102s	1956m	351Mi	4168m	26704Mi
running	113s	5044m	434Mi	9415m	26188Mi
running	123s	5044m	434Mi	9415m	26188Mi
running	133s	5219m	399Mi	11928m	27386Mi
running	143s	5012m	349Mi	12650m	28706Mi
running	153s	5012m	349Mi	12650m	28706Mi
running	164s	3779m	444Mi	8318m	29474Mi
running	174s	750m	286Mi	3470m	27495Mi
running	184s	750m	286Mi	3470m	27495Mi
running	194s	4269m	644Mi	9270m	27714Mi
running	205s	4532m	754Mi	12048m	29043Mi
running	215s	4532m	754Mi	12048m	29043Mi
running	225s	4766m	1024Mi	12558m	29847Mi
running	235s	4439m	1082Mi	12288m	30955Mi
running	246s	4439m	1082Mi	11831m	31550Mi
running	256s	3516m	1256Mi	11831m	31550Mi
running	266s	3624m	1238Mi	11978m	31096Mi
running	276s	4139m	978Mi	11842m	31435Mi
running	286s	4139m	978Mi	11842m	31435Mi
running	297s	2982m	950Mi	10922m	31497Mi
running	307s	4658m	876Mi	12079m	31237Mi
running	317s	4658m	876Mi	12079m	31237Mi
running	327s	4626m	958Mi	12816m	32346Mi
running	338s	3761m	1126Mi	10270m	32372Mi
running	348s	3761m	1126Mi	10270m	32372Mi
running	358s	4090m	1072Mi	11103m	32720Mi
running	368s	4269m	948Mi	12638m	33355Mi
running	378s	4269m	948Mi	12638m	33355Mi
running	389s	3358m	1017Mi	12003m	33463Mi
running	399s	4567m	1045Mi	11851m	32266Mi
running	409s	4567m	1045Mi	11851m	32266Mi
running	419s	3936m	997Mi	12472m	33448Mi
running	429s	3139m	851Mi	9618m	34461Mi
running	440s	3139m	851Mi	9618m	34461Mi
running	450s	4129m	1060Mi	11732m	34748Mi
running	460s	3517m	1005Mi	11696m	36127Mi
running	470s	3517m	1005Mi	11714m	35435Mi
running	481s	3551m	945Mi	11714m	35435Mi
