step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1993.24	11.47ms	30.16ms	0
2200	2189.11	20.21ms	58.69ms	0
2400	2370.02	17.85ms	43.17ms	0
2600	2578.49	29.03ms	62.94ms	0
2800	2778.74	22.64ms	62.24ms	0
3000	2952.28	38.93ms	79.49ms	0
3200	3154.37	36.76ms	79.74ms	0
3400	3342.16	47.69ms	112.89ms	0
3600	3553.02	62.65ms	122.56ms	0
3800	3744.75	87.05ms	281.09ms	0
4000	3949.49	333.00ms	698.88ms	0
4200	3956.26	808.01ms	1.74s	0
4400	4067.63	2.01s	2.46s	0
4600	4086.87	2.25s	3.16s	0
4800	3959.02	3.71s	5.00s	0
5000	3903.60	4.58s	6.43s	0
