step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.63	17.30ms	49.41ms	0
2200	2197.01	19.02ms	51.42ms	0
2400	2373.51	22.04ms	48.13ms	0
2600	2578.74	25.78ms	58.81ms	0
2800	2787.86	35.83ms	165.25ms	0
3000	2961.93	72.76ms	353.28ms	0
3200	3156.96	65.42ms	294.14ms	0
3400	3349.72	88.71ms	235.52ms	0
3600	3558.38	307.44ms	872.96ms	0
3800	3697.62	771.85ms	2.03s	0
4000	3619.98	2.95s	7.36s	0
