phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	313Mi	2790m	21609Mi
running	10s		3027m	21776Mi
running	21s		3027m	21776Mi
running	31s	779m	36Mi	3705m	21984Mi
running	41s	738m	47Mi	3146m	22262Mi
running	51s	738m	47Mi	3146m	22262Mi
running	62s	777m	36Mi	3123m	20944Mi
running	72s	757m	48Mi	2920m	21057Mi
running	82s	757m	48Mi	2920m	21057Mi
running	92s	5010m	317Mi	11514m	21364Mi
running	102s	4816m	364Mi	12577m	22517Mi
running	113s	4816m	364Mi	12577m	22517Mi
running	123s	4317m	479Mi	13649m	22365Mi
running	133s	4278m	521Mi	12322m	23662Mi
running	143s	4278m	521Mi	12322m	23662Mi
running	153s	1156m	64Mi	7390m	23509Mi
running	164s	1807m	387Mi	5745m	23888Mi
running	174s	1807m	387Mi	5745m	23888Mi
running	184s	3615m	522Mi	9141m	23260Mi
running	194s	4726m	591Mi	12196m	23328Mi
running	205s	5137m	561Mi	11759m	22192Mi
running	215s	5137m	561Mi	11759m	22192Mi
running	225s	3869m	624Mi	11254m	23129Mi
running	235s	4483m	690Mi	11060m	23668Mi
running	245s	4483m	690Mi	11060m	23668Mi
running	256s	4371m	754Mi	10823m	23949Mi
running	266s	3818m	864Mi	10415m	24014Mi
running	276s	3818m	864Mi	10415m	24014Mi
running	286s	4168m	878Mi	11740m	23293Mi
running	297s	4767m	916Mi	12150m	24277Mi
running	307s	4767m	916Mi	12150m	24277Mi
running	317s	4255m	985Mi	11906m	24637Mi
running	327s	4058m	1036Mi	11259m	25701Mi
running	337s	4058m	1036Mi	11259m	25701Mi
running	348s	3503m	1107Mi	12008m	25287Mi
running	358s	4371m	1103Mi	12388m	25574Mi
running	368s	4371m	1103Mi	12388m	25574Mi
running	378s	4464m	1064Mi	11783m	26053Mi
running	388s	3476m	1140Mi	11787m	26668Mi
running	399s	3476m	1140Mi	11787m	26668Mi
running	409s	3876m	982Mi	11892m	28188Mi
running	419s	2953m	904Mi	10896m	28478Mi
running	429s	2953m	904Mi	13001m	27938Mi
running	440s	3730m	775Mi	13001m	27938Mi
running	450s	3060m	946Mi	10744m	29174Mi
running	460s	3733m	977Mi	11990m	27707Mi
