phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
96m	67Mi
99m	67Mi
running	300s	4888m	275Mi	6162m	11533Mi	498m	169Mi
144m	74Mi
207m	79Mi
96m	69Mi
95m	63Mi
92m	69Mi
98m	70Mi
96m	67Mi
99m	67Mi
running	310s	4601m	282Mi	6870m	12168Mi	499m	164Mi
138m	76Mi
213m	81Mi
97m	72Mi
87m	63Mi
88m	71Mi
98m	68Mi
100m	67Mi
101m	67Mi
running	320s	4333m	334Mi	8377m	12143Mi	498m	166Mi
139m	75Mi
205m	79Mi
94m	70Mi
85m	62Mi
87m	69Mi
95m	69Mi
98m	67Mi
94m	67Mi
running	331s	4333m	334Mi	8377m	12143Mi	498m	166Mi
139m	75Mi
205m	79Mi
94m	70Mi
85m	62Mi
87m	69Mi
95m	69Mi
98m	67Mi
94m	67Mi
running	341s	4522m	281Mi	7836m	10218Mi	501m	167Mi
134m	71Mi
210m	82Mi
99m	70Mi
91m	63Mi
87m	69Mi
99m	71Mi
98m	67Mi
94m	67Mi
running	351s	4902m	282Mi	5603m	10762Mi	495m	174Mi
140m	74Mi
209m	83Mi
97m	69Mi
94m	63Mi
91m	64Mi
94m	69Mi
95m	67Mi
92m	69Mi
running	362s	4602m	296Mi	6979m	11425Mi	503m	174Mi
136m	75Mi
210m	82Mi
93m	70Mi
93m	63Mi
88m	69Mi
96m	69Mi
98m	66Mi
99m	66Mi
running	372s	4602m	296Mi	6979m	11425Mi	503m	174Mi
136m	75Mi
210m	82Mi
93m	70Mi
93m	63Mi
88m	69Mi
96m	69Mi
98m	66Mi
99m	66Mi
running	382s	5060m	266Mi	5676m	12029Mi	499m	169Mi
138m	74Mi
209m	78Mi
94m	71Mi
91m	62Mi
86m	70Mi
99m	70Mi
97m	64Mi
93m	66Mi
running	393s	4821m	281Mi	6439m	12743Mi	499m	168Mi
139m	76Mi
205m	77Mi
96m	69Mi
92m	61Mi
89m	70Mi
94m	70Mi
98m	69Mi
89m	69Mi
running	403s	4821m	281Mi	6439m	12743Mi	499m	168Mi
139m	76Mi
205m	77Mi
96m	69Mi
92m	61Mi
89m	70Mi
94m	70Mi
98m	69Mi
89m	69Mi
running	413s	4859m	249Mi	7229m	13430Mi	502m	165Mi
138m	77Mi
212m	76Mi
92m	70Mi
93m	61Mi
86m	67Mi
93m	71Mi
93m	69Mi
93m	68Mi
running	424s	4580m	243Mi	7275m	13225Mi	495m	169Mi
135m	71Mi
211m	73Mi
95m	71Mi
87m	61Mi
87m	69Mi
96m	69Mi
98m	68Mi
93m	68Mi
running	434s	4580m	243Mi	7275m	13225Mi	495m	169Mi
135m	71Mi
211m	73Mi
95m	71Mi
87m	61Mi
87m	69Mi
96m	69Mi
98m	68Mi
93m	68Mi
running	444s	4455m	338Mi	7818m	13289Mi	502m	166Mi
140m	73Mi
211m	78Mi
94m	71Mi
97m	63Mi
87m	70Mi
97m	70Mi
97m	68Mi
88m	67Mi
running	455s	3689m	409Mi	6888m	11720Mi	498m	161Mi
51m	71Mi
76m	79Mi
38m	71Mi
39m	63Mi
31m	70Mi
39m	70Mi
40m	69Mi
37m	65Mi
