step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1997.91	15.46ms	45.44ms	0
2200	2197.33	24.26ms	54.43ms	0
2400	2371.93	24.49ms	57.06ms	0
2600	2580.55	31.79ms	65.86ms	0
2800	2793.41	31.49ms	103.23ms	0
3000	2959.45	58.32ms	128.32ms	0
3200	3160.73	88.10ms	243.84ms	0
3400	3357.30	200.95ms	553.98ms	0
3600	3565.35	491.88ms	1.08s	0
3800	3621.21	1.65s	3.44s	0
4000	3592.31	3.12s	8.18s	0
