step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1987.80	18.02ms	45.47ms	0
2200	2193.26	14.64ms	58.37ms	0
2400	2368.90	27.00ms	75.97ms	0
2600	2576.71	20.20ms	48.22ms	0
2800	2789.42	24.42ms	58.72ms	0
3000	2948.57	39.98ms	80.51ms	0
3200	3146.14	32.02ms	70.65ms	0
3400	3335.06	45.38ms	100.99ms	0
3600	3543.60	64.75ms	130.75ms	0
3800	3755.94	68.46ms	202.24ms	0
4000	3941.94	355.90ms	728.06ms	0
4200	3967.76	823.26ms	1.70s	0
4400	4049.57	2.16s	2.60s	0
4600	3977.28	2.70s	3.83s	0
4800	3927.37	3.74s	5.18s	0
5000	3899.63	4.66s	6.43s	0
