step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1993.26	13.67ms	36.26ms	0
2200	2195.67	22.82ms	54.05ms	0
2400	2374.78	24.17ms	51.23ms	0
2600	2578.91	27.10ms	60.77ms	0
2800	2795.64	32.72ms	89.73ms	0
3000	2962.17	52.81ms	146.82ms	0
3200	3162.87	120.44ms	294.40ms	0
3400	3354.10	198.97ms	605.70ms	0
3600	3532.61	883.57ms	1.64s	0
3800	3518.15	2.50s	4.48s	0
4000	3612.40	2.79s	5.89s	0
