phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	65Mi	8m	22676Mi
running	10s		8m	22676Mi
running	20s		1487m	19939Mi
running	30s	843m	38Mi	1544m	18649Mi
running	41s	858m	39Mi	764m	18683Mi
running	51s	858m	39Mi	764m	18683Mi
running	61s	894m	40Mi	764m	18717Mi
running	71s	2660m	257Mi	3102m	18972Mi
running	81s	2660m	257Mi	3102m	18972Mi
running	92s	5112m	287Mi	8720m	18887Mi
running	102s	5228m	250Mi	9300m	19817Mi
running	112s	5228m	250Mi	9300m	19817Mi
running	122s	5118m	303Mi	10080m	20832Mi
running	133s	3209m	381Mi	7997m	20776Mi
running	143s	3209m	381Mi	7997m	20776Mi
running	153s	2m	381Mi	1997m	20899Mi
running	163s	4299m	672Mi	8603m	22017Mi
running	173s	4299m	672Mi	8603m	22017Mi
running	184s	4341m	760Mi	11823m	20474Mi
running	194s	4589m	1030Mi	11212m	21748Mi
running	204s	4589m	1030Mi	11212m	21748Mi
running	214s	4600m	1241Mi	12033m	22837Mi
running	225s	3827m	1293Mi	9729m	23761Mi
running	235s	3827m	1293Mi	9729m	23761Mi
running	245s	3103m	1256Mi	9076m	22883Mi
running	255s	4620m	1192Mi	10537m	22233Mi
running	265s	4620m	1192Mi	10392m	22480Mi
running	276s	4252m	1082Mi	10392m	22480Mi
running	286s	4816m	1016Mi	11931m	23950Mi
running	296s	3913m	977Mi	11710m	25104Mi
running	306s	3913m	977Mi	11710m	25104Mi
running	316s	3449m	1039Mi	11249m	24864Mi
running	327s	3831m	992Mi	11411m	24307Mi
running	337s	3831m	992Mi	11411m	24307Mi
running	347s	4959m	975Mi	11059m	24692Mi
running	357s	3748m	1009Mi	10377m	25949Mi
running	368s	3748m	1009Mi	10377m	25949Mi
running	378s	4365m	1012Mi	12011m	27383Mi
running	388s	3269m	1099Mi	10984m	28660Mi
running	398s	3269m	1099Mi	10984m	28660Mi
running	408s	2894m	1027Mi	10726m	27999Mi
running	419s	4001m	1000Mi	13141m	27257Mi
running	429s	4001m	1000Mi	13141m	27257Mi
running	439s	3904m	1103Mi	12459m	26423Mi
running	449s	4134m	1074Mi	11810m	27547Mi
running	459s	4134m	1074Mi	11810m	27547Mi
