phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	3397m	954Mi	9590m	35045Mi
running	11s	3791m	568Mi	11578m	34757Mi
running	21s	3791m	568Mi	11578m	34757Mi
running	31s		8200m	35659Mi
running	41s		5586m	34514Mi
running	52s	516m	34Mi	4465m	34773Mi
running	62s	516m	34Mi	4465m	34773Mi
running	72s	1001m	48Mi	3789m	33783Mi
running	82s	771m	41Mi	3569m	34014Mi
running	93s	771m	41Mi	3569m	34014Mi
running	103s	820m	48Mi	3598m	34266Mi
running	113s	4577m	461Mi	9883m	31896Mi
running	123s	4577m	461Mi	9883m	31896Mi
running	134s	5145m	406Mi	13411m	33243Mi
running	144s	4832m	363Mi	12333m	34608Mi
running	154s	4832m	363Mi	12333m	34608Mi
running	164s	4230m	452Mi	13483m	35031Mi
running	174s	993m	313Mi	5512m	35662Mi
running	185s	993m	313Mi	5512m	35662Mi
running	195s	2205m	514Mi	4654m	35927Mi
running	205s	3621m	847Mi	8493m	32681Mi
running	215s	3621m	847Mi	8493m	32681Mi
running	225s	5336m	917Mi	12374m	34154Mi
running	236s	5031m	1022Mi	13134m	35627Mi
running	246s	5031m	1022Mi	13134m	35627Mi
running	256s	3427m	1292Mi	7792m	35410Mi
running	266s	4680m	1240Mi	11823m	36238Mi
running	277s	2767m	1012Mi	9064m	36694Mi
running	287s	2767m	1012Mi	9064m	36694Mi
running	297s	3931m	984Mi	11693m	35575Mi
running	307s	4868m	1080Mi	11768m	36562Mi
running	317s	4868m	1080Mi	11768m	36562Mi
running	328s	3628m	1138Mi	10726m	37849Mi
running	338s	4078m	976Mi	13388m	38633Mi
running	348s	4078m	976Mi	13388m	38633Mi
running	358s	3671m	971Mi	11175m	39894Mi
running	369s	2726m	1017Mi	9861m	38050Mi
running	379s	2726m	1017Mi	9861m	38050Mi
running	389s	3847m	974Mi	14227m	39477Mi
running	399s	3025m	1040Mi	10907m	40478Mi
running	409s	3025m	1040Mi	10907m	40478Mi
running	420s	4262m	990Mi	13221m	40260Mi
running	430s	3817m	1038Mi	13107m	40094Mi
running	440s	3817m	1038Mi	13107m	40094Mi
running	450s	3890m	1055Mi	11623m	40269Mi
running	461s	3953m	942Mi	13801m	40312Mi
running	471s	3953m	942Mi	13801m	40312Mi
running	481s	3175m	942Mi	12202m	41647Mi
running	491s	3781m	1006Mi	12245m	42267Mi
running	501s	3781m	1006Mi	10350m	40629Mi
