phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	3514m	957Mi	12098m	26251Mi
running	10s	2734m	630Mi	9851m	26331Mi
running	20s	2734m	630Mi	9851m	26331Mi
running	31s		8144m	26647Mi
running	41s		3533m	26356Mi
running	51s		3533m	26356Mi
running	61s	813m	37Mi	3429m	26716Mi
running	72s	706m	53Mi	3651m	26809Mi
running	82s	706m	53Mi	3651m	26809Mi
running	92s	781m	39Mi	3629m	27023Mi
running	102s	1456m	349Mi	4204m	27323Mi
running	113s	4607m	376Mi	12136m	27294Mi
running	123s	4607m	376Mi	12136m	27294Mi
running	133s	4810m	395Mi	12813m	27027Mi
running	143s	4529m	464Mi	12839m	27464Mi
running	154s	4529m	464Mi	12839m	27464Mi
running	164s	4047m	416Mi	11448m	27745Mi
running	174s	619m	180Mi	4997m	25884Mi
running	184s	619m	180Mi	4997m	25884Mi
running	195s	4853m	492Mi	8665m	26551Mi
running	205s	4063m	627Mi	9765m	26998Mi
running	215s	4063m	627Mi	9765m	26998Mi
running	225s	4528m	773Mi	11926m	26011Mi
running	235s	4550m	914Mi	11452m	27472Mi
running	246s	4550m	914Mi	11452m	27472Mi
running	256s	4099m	1059Mi	11174m	27841Mi
running	266s	3994m	1150Mi	10278m	28209Mi
running	276s	3994m	1150Mi	10278m	28209Mi
running	286s	3590m	1152Mi	10908m	28863Mi
running	297s	3794m	1001Mi	11579m	28698Mi
running	307s	3794m	1001Mi	11579m	28698Mi
running	317s	4112m	957Mi	12163m	29170Mi
running	327s	4222m	890Mi	10833m	30322Mi
running	338s	3510m	953Mi	10784m	30197Mi
running	348s	3510m	953Mi	10784m	30197Mi
running	358s	3818m	907Mi	10557m	31465Mi
running	368s	3904m	867Mi	12355m	32062Mi
running	378s	3904m	867Mi	12355m	32062Mi
running	389s	3099m	1007Mi	12430m	31124Mi
running	399s	4042m	1048Mi	12609m	31099Mi
running	409s	4042m	1048Mi	12609m	31099Mi
running	419s	4095m	1020Mi	12567m	32411Mi
running	429s	3748m	1017Mi	12407m	32865Mi
running	440s	3748m	1017Mi	12407m	32865Mi
running	450s	3760m	996Mi	11874m	33644Mi
running	460s	3071m	968Mi	11370m	33779Mi
running	470s	3071m	968Mi	11370m	33779Mi
running	481s	3545m	952Mi	12784m	32690Mi
