phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	696m	168Mi	5605m	22062Mi
running	11s		3019m	22220Mi
running	21s		3247m	22418Mi
running	31s		3247m	22418Mi
running	41s	684m	67Mi	3452m	22787Mi
running	52s	761m	39Mi	2629m	19758Mi
running	62s	761m	39Mi	2629m	19758Mi
running	72s	799m	40Mi	1750m	19839Mi
running	82s	2822m	356Mi	5188m	20249Mi
running	92s	2822m	356Mi	10795m	21281Mi
running	103s	5105m	407Mi	10795m	21281Mi
running	113s	4096m	509Mi	11113m	20155Mi
running	123s	4871m	441Mi	11688m	20720Mi
running	133s	4871m	441Mi	11688m	20720Mi
running	144s	3548m	269Mi	10237m	21901Mi
running	154s	33m	139Mi	3230m	22266Mi
running	164s	33m	139Mi	3230m	22266Mi
running	174s	3339m	481Mi	6891m	22853Mi
running	185s	4327m	593Mi	10925m	22113Mi
running	195s	4327m	593Mi	10925m	22113Mi
running	205s	4605m	553Mi	12565m	23369Mi
running	215s	3990m	647Mi	11257m	21743Mi
running	225s	3990m	647Mi	11257m	21743Mi
running	236s	4838m	716Mi	13280m	22855Mi
running	246s	3824m	713Mi	11264m	23996Mi
running	256s	3824m	713Mi	11264m	23996Mi
running	266s	3593m	842Mi	8982m	23829Mi
running	277s	3682m	992Mi	10496m	24701Mi
running	287s	3682m	992Mi	10496m	24701Mi
running	297s	4193m	1024Mi	11439m	25578Mi
running	307s	4653m	1119Mi	13266m	24828Mi
running	317s	4653m	1119Mi	11791m	25741Mi
running	328s	4262m	1051Mi	11791m	25741Mi
running	338s	3478m	1009Mi	10724m	26858Mi
running	348s	4215m	941Mi	11998m	26417Mi
running	358s	4215m	941Mi	11998m	26417Mi
running	368s	3611m	848Mi	11090m	27710Mi
running	379s	3571m	854Mi	10038m	27821Mi
running	389s	3571m	854Mi	10038m	27821Mi
running	399s	3829m	969Mi	10789m	27949Mi
running	409s	3791m	961Mi	11178m	27353Mi
running	420s	3791m	961Mi	11178m	27353Mi
running	430s	3546m	973Mi	11977m	28730Mi
running	440s	3797m	925Mi	15481m	28788Mi
running	450s	3797m	925Mi	15481m	28788Mi
running	460s	4112m	969Mi	13194m	30145Mi
